时间,个股,得分
2026-01-16/1,纳科诺尔,2.0
2026-01-16/1,宏工科技,2.0
2026-01-16/1,石基信息,2.0
2026-01-16/1,巨子生物,2.0
2026-01-16/1,厦钨新能,1.0
2026-01-16/1,中一科技,1.0
2026-01-16/1,华自科技,1.0
2026-01-16/1,联赢激光,1.0
2026-01-16/1,先导智能,1.0
2026-01-16/1,上海洗霸,1.0
2026-01-16/1,金沃股份,1.0
2026-01-16/1,四方股份,1.0
2026-01-16/1,海目星,1.0
2026-01-16/1,光云科技,1.0
2026-01-16/1,杭可科技,1.0
2026-01-16/1,壹网壹创,1.0
2026-01-16/1,青木科技,1.0
2026-01-16/1,微盟集团,1.0
2026-01-16/1,先惠技术,1.0
2026-01-16/1,每日互动,1.0
2026-01-16/1,佰维存储,1.0
2026-01-16/1,江波龙,1.0
2026-01-16/1,德明利,1.0
2026-01-16/1,歌尔股份,1.0
2026-01-16/1,长盈精密,1.0
2026-01-16/1,豪鹏科技,1.0
2026-01-16/1,值得买,1.0
2026-01-16/1,药明合联,1.0
2026-01-16/1,凯莱英,1.0
2026-01-16/1,康龙化成,1.0
2026-01-16/1,首旅酒店,1.0
2026-01-16/1,锦江酒店,1.0
2026-01-16/1,同程旅行,1.0
2026-01-16/1,三峡旅游,1.0
2026-01-16/1,陕西旅游,1.0
2026-01-16/1,平高电气,1.0
2026-01-16/1,许继电气,1.0
2026-01-16/1,中国西电,1.0
2026-01-16/1,国电南瑞,1.0
2026-01-16/1,思源电气,1.0
2026-01-16/1,特变电工,1.0
2026-01-16/1,东方电子,1.0
2026-01-16/1,药明康德,1.0
2026-01-16/1,创健医疗,1.0
2026-01-16/1,三星医疗,1.0
2026-01-16/1,中伟股份,1.0
2026-01-16/1,华友钴业,1.0
2026-01-16/1,恒辉安防,1.0
2026-01-16/1,斯菱智驱,1.0
2026-01-16/1,高测股份,1.0
2026-01-16/1,格林美,1.0
2026-01-16/1,集智股份,1.0
2026-01-16/1,伯特利,1.0
2026-01-16/1,亚太股份,1.0
2026-01-16/1,拓普集团,1.0
2026-01-16/1,保隆科技,1.0
2026-01-16/1,经纬恒润,1.0
2026-01-16/1,浙江世宝,1.0
2026-01-16/1,锦波生物,1.0
2026-01-16/1,华海清科,1.0
2026-01-16/1,上美股份,1.0
2026-01-16/1,毛戈平,1.0
2026-01-16/1,润本股份,1.0
2026-01-16/1,北方华创,1.0
2026-01-16/1,中微公司,1.0
2026-01-16/1,拓荆科技,1.0
2026-01-16/1,芯源微,1.0
2026-01-16/1,鼎龙股份,1.0
2026-01-16/1,中科飞测,1.0
2026-01-16/1,日月光,1.0
2026-01-16/1,三孚股份,1.0
2026-01-16/1,香农芯创,1.0
2026-01-16/1,工业富联,1.0
2026-01-16/1,天合光能,1.0
2026-01-16/1,AI应用,0.0
