时间,个股,得分
2026-01-11/1,迈为股份,2.0
2026-01-11/1,中恒电气,2.0
2026-01-11/1,多氟多,1.0
2026-01-11/1,天际股份,1.0
2026-01-11/1,佛塑科技,1.0
2026-01-11/1,星源材质,1.0
2026-01-11/1,恩捷股份,1.0
2026-01-11/1,华盛锂电,1.0
2026-01-11/1,胜华新材,1.0
2026-01-11/1,新宙邦,1.0
2026-01-11/1,海科新源,1.0
2026-01-11/1,容百科技,1.0
2026-01-11/1,裕能,1.0
2026-01-11/1,嘉元科技,1.0
2026-01-11/1,万润,1.0
2026-01-11/1,德福,1.0
2026-01-11/1,凯盛科技,1.0
2026-01-11/1,汇纳科技,1.0
2026-01-11/1,天赐材料,1.0
2026-01-11/1,金刚光伏,1.0
2026-01-11/1,宇晶股份,1.0
2026-01-11/1,瑞华泰,1.0
2026-01-11/1,国瓷材料,1.0
2026-01-11/1,莱特光电,1.0
2026-01-11/1,瑞联新材,1.0
2026-01-11/1,航发科技,1.0
2026-01-11/1,万润股份,1.0
2026-01-11/1,中航高科,1.0
2026-01-11/1,中航西飞,1.0
2026-01-11/1,中航重机,1.0
2026-01-11/1,中航光电,1.0
2026-01-11/1,民士达,1.0
2026-01-11/1,润贝航科,1.0
2026-01-11/1,航发动力,1.0
2026-01-11/1,中航机载,1.0
2026-01-11/1,航材股份,1.0
2026-01-11/1,华秦科技,1.0
2026-01-11/1,盛洋科技,1.0
2026-01-11/1,信维通信,1.0
2026-01-11/1,飞沃科技,1.0
2026-01-11/1,广联航空,1.0
2026-01-11/1,超捷股份,1.0
2026-01-11/1,信科移动,1.0
2026-01-11/1,海格通信,1.0
2026-01-11/1,航天动力,1.0
2026-01-11/1,西测测试,1.0
2026-01-11/1,臻镭科技,1.0
2026-01-11/1,航天电器,1.0
2026-01-11/1,铂力特,1.0
2026-01-11/1,奥特维,1.0
2026-01-11/1,上海港湾,1.0
2026-01-11/1,乾照光电,1.0
2026-01-11/1,钧达股份,1.0
2026-01-11/1,三环集团,1.0
2026-01-11/1,春晖智控,1.0
2026-01-11/1,壹石通,1.0
2026-01-11/1,中集安瑞科,1.0
2026-01-11/1,小鹏汽车,1.0
2026-01-11/1,阿里巴巴,1.0
2026-01-11/1,腾讯控股,1.0
2026-01-11/1,科大讯飞,1.0
2026-01-11/1,金山办公,1.0
2026-01-11/1,合合信息,1.0
2026-01-11/1,星环科技,1.0
2026-01-11/1,汉得信息,1.0
2026-01-11/1,税友股份,1.0
2026-01-11/1,万兴科技,1.0
2026-01-11/1,金蝶国际,1.0
2026-01-11/1,深信服,1.0
2026-01-11/1,鼎捷数智,1.0
2026-01-11/1,润达医疗,1.0
2026-01-11/1,用友网络,1.0
2026-01-11/1,美年健康,1.0
2026-01-11/1,蓝色光标,1.0
2026-01-11/1,阅文集团,1.0
2026-01-11/1,中文在线,1.0
2026-01-11/1,斯菱股份,1.0
2026-01-11/1,福赛科技,1.0
2026-01-11/1,科森科技,1.0
2026-01-11/1,新泉股份,1.0
2026-01-11/1,三花智控,1.0
2026-01-11/1,拓普集团,1.0
2026-01-11/1,恒立液压,1.0
2026-01-11/1,泛亚微透,1.0
2026-01-11/1,浙江荣泰,1.0
2026-01-11/1,奥比中光,1.0
2026-01-11/1,领益智造,1.0
2026-01-11/1,新益昌,1.0
2026-01-11/1,蓝思科技,1.0
2026-01-11/1,海康威视,1.0
2026-01-11/1,大华股份,1.0
2026-01-11/1,智谱,1.0
2026-01-11/1,MiniMax,1.0
2026-01-11/1,仙乐健康,1.0
2026-01-11/1,英维克,1.0
2026-01-11/1,思泉新材,1.0
2026-01-11/1,奕东电子,1.0
2026-01-11/1,荣信文化,1.0
2026-01-11/1,江特电机,1.0
2026-01-11/1,融捷股份,1.0
2026-01-11/1,赣锋锂业,1.0
2026-01-11/1,天齐锂业,1.0
2026-01-11/1,鼎泰高科,1.0
2026-01-11/1,胜宏科技,1.0
2026-01-11/1,源杰科技,1.0
2026-01-11/1,仕佳光子,1.0
2026-01-11/1,长光华芯,1.0
2026-01-11/1,永鼎股份,1.0
2026-01-11/1,东山精密,1.0
2026-01-11/1,云南锗业,1.0
2026-01-11/1,华丰科技,1.0
2026-01-11/1,芯原股份,1.0
2026-01-11/1,伟测科技,1.0
2026-01-11/1,寒武纪,1.0
2026-01-11/1,海光信息,1.0
