时间,板块,得分
2026-01-20/2,有色金属,2.0
2026-01-20/2,科技,2.0
2026-01-20/2,半导体,2.0
2026-01-20/2,光伏,2.0
2026-01-20/2,电力设备,2.0
2026-01-20/2,半导体设备,2.0
2026-01-20/2,电子元件,2.0
2026-01-20/2,电网设备,2.0
2026-01-20/2,机器人,2.0
2026-01-20/2,计算机,1.3
2026-01-20/2,医疗器械,1.0
2026-01-20/2,化工,1.0
2026-01-20/2,国防军工,1.0
2026-01-20/2,人工智能,1.0
2026-01-20/2,无人驾驶,1.0
2026-01-20/2,航空航天,1.0
2026-01-20/2,航空装备,1.0
2026-01-20/2,航空发动机,1.0
2026-01-20/2,汽车零部件,1.0
2026-01-20/2,PCB,1.0
2026-01-20/2,鸿蒙概念,1.0
2026-01-20/2,广告营销,1.0
2026-01-20/2,机械设备,1.0
2026-01-20/2,光伏设备,1.0
2026-01-20/2,半导体材料,1.0
2026-01-20/2,旅游零售,1.0
2026-01-20/2,储能,1.0
2026-01-20/2,MLCC,1.0
2026-01-20/2,科创100,1.0
