时间,板块,得分
2026-01-20/3,化工,6.0
2026-01-20/3,光伏设备,6.0
2026-01-20/3,计算机,5.0
2026-01-20/3,工程机械,5.0
2026-01-20/3,房地产,5.0
2026-01-20/3,半导体,5.0
2026-01-20/3,电力设备,4.0
2026-01-20/3,人工智能,3.0
2026-01-20/3,食品饮料,3.0
2026-01-20/3,汽车零部件,3.0
2026-01-20/3,免税,3.0
2026-01-20/3,传媒,2.0
2026-01-20/3,家电,2.0
2026-01-20/3,科技,2.0
2026-01-20/3,机械设备,2.0
2026-01-20/3,电子,2.0
2026-01-20/3,建筑建材,2.0
2026-01-20/3,汽车,2.0
2026-01-20/3,电子元件,2.0
2026-01-20/3,环保,2.0
2026-01-20/3,煤炭,1.0
2026-01-20/3,非银金融,1.0
2026-01-20/3,光模块,1.0
2026-01-20/3,新能源汽车,1.0
2026-01-20/3,餐饮,1.0
2026-01-20/3,旅游,1.0
2026-01-20/3,证券,1.0
2026-01-20/3,航空运输,1.0
2026-01-20/3,银行,1.0
2026-01-20/3,免税店,1.0
2026-01-20/3,国债,1.0
2026-01-20/3,液冷系统,1.0
2026-01-20/3,设备,1.0
2026-01-20/3,机器人,1.0
2026-01-20/3,输变电设备,1.0
2026-01-20/3,建材,1.0
2026-01-20/3,通信设备,1.0
2026-01-20/3,轻工制造,1.0
2026-01-20/3,国防军工,1.0
2026-01-20/3,自动驾驶,1.0
2026-01-20/3,PCB,1.0
2026-01-20/3,半导体设备,1.0
2026-01-20/3,环保工程及服务,1.0
2026-01-20/3,锂电池,1.0
2026-01-20/3,锂,1.0
2026-01-20/3,电气设备,1.0
2026-01-20/3,风电设备,1.0
2026-01-20/3,科创50,1.0
2026-01-20/3,中证1000,1.0
2026-01-20/3,建筑装饰,1.0
2026-01-20/3,公用事业,1.0
2026-01-20/3,商社,1.0
2026-01-20/3,汽车制造,1.0
2026-01-20/3,保险,1.0
2026-01-20/3,债券,1.0
2026-01-20/3,数字经济,1.0
2026-01-20/3,零售,1.0
2026-01-20/3,商贸零售,1.0
2026-01-20/3,家居,1.0
2026-01-20/3,云计算,1.0
2026-01-20/3,有色金属,1.0
2026-01-20/3,医药生物,1.0
2026-01-20/3,消费电子,1.0
2026-01-20/3,军工,0.0
2026-01-20/3,煤炭开采,0.0
2026-01-20/3,美容护理,0.0
2026-01-20/3,通信,0.0
