时间,板块,得分
2026-01-14/t,半导体,8.0
2026-01-14/t,航天航空,6.8
2026-01-14/t,计算机,6.4
2026-01-14/t,消费电子,5.0
2026-01-14/t,电力设备,5.0
2026-01-14/t,航天装备,5.0
2026-01-14/t,计算机应用,5.0
2026-01-14/t,人工智能,4.0
2026-01-14/t,固态电池,3.5
2026-01-14/t,锂电池,3.0
2026-01-14/t,汽车零部件,3.0
2026-01-14/t,半导体封测,3.0
2026-01-14/t,餐饮,2.5
2026-01-14/t,有色金属,2.0
2026-01-14/t,电子,2.0
2026-01-14/t,机器人,2.0
2026-01-14/t,机械设备,2.0
2026-01-14/t,传媒,2.0
2026-01-14/t,存储,2.0
2026-01-14/t,农业,2.0
2026-01-14/t,医疗服务,1.5
2026-01-14/t,电气设备,1.5
2026-01-14/t,环保,1.0
2026-01-14/t,铝,1.0
2026-01-14/t,贵金属,1.0
2026-01-14/t,储能,1.0
2026-01-14/t,PCB设备,1.0
2026-01-14/t,燃气轮机,1.0
2026-01-14/t,券商,1.0
2026-01-14/t,基因检测,1.0
2026-01-14/t,数字人,1.0
2026-01-14/t,医药生物,1.0
2026-01-14/t,锂矿,1.0
2026-01-14/t,航空运输,1.0
2026-01-14/t,汽车,1.0
2026-01-14/t,光伏,1.0
2026-01-14/t,光伏设备,1.0
2026-01-14/t,发电设备,1.0
2026-01-14/t,商贸零售,1.0
2026-01-14/t,电商服务,1.0
2026-01-14/t,互联网,1.0
2026-01-14/t,新材料,1.0
2026-01-14/t,风电,1.0
2026-01-14/t,电力,1.0
2026-01-14/t,教育,1.0
2026-01-14/t,半导体设备,1.0
2026-01-14/t,证券,1.0
2026-01-14/t,工业互联网,1.0
2026-01-14/t,通信设备,1.0
2026-01-14/t,煤炭,1.0
2026-01-14/t,生物制品,1.0
2026-01-14/t,玻璃制造,1.0
2026-01-14/t,AI应用,1.0
2026-01-14/t,国产算力,1.0
2026-01-14/t,半导体及元件,1.0
2026-01-14/t,船舶制造,0.6
2026-01-14/t,3D打印,0.6
2026-01-14/t,电子烟,0.5
2026-01-14/t,工业AI,0.3
2026-01-14/t,医疗器械,0.3
