时间,板块,得分
2026-01-22/3,半导体,4.0
2026-01-22/3,汽车零部件,4.0
2026-01-22/3,医疗器械,3.0
2026-01-22/3,云计算,3.0
2026-01-22/3,有色金属,2.0
2026-01-22/3,TMT,2.0
2026-01-22/3,储能,2.0
2026-01-22/3,光伏设备,2.0
2026-01-22/3,机器人,2.0
2026-01-22/3,固态电池,2.0
2026-01-22/3,电子,2.0
2026-01-22/3,轮胎,2.0
2026-01-22/3,煤炭,2.0
2026-01-22/3,航天航空,1.0
2026-01-22/3,3D打印,1.0
2026-01-22/3,计算机应用,1.0
2026-01-22/3,化工,1.0
2026-01-22/3,卫星互联网,1.0
2026-01-22/3,燃气,1.0
2026-01-22/3,电子元件,1.0
2026-01-22/3,传媒,1.0
2026-01-22/3,光学光电子,1.0
2026-01-22/3,煤炭开采,1.0
2026-01-22/3,光伏,1.0
2026-01-22/3,国产芯片,1.0
2026-01-22/3,互联网传媒,1.0
2026-01-22/3,CPO,1.0
2026-01-22/3,光通信,1.0
2026-01-22/3,半导体设备,1.0
2026-01-22/3,工程机械,1.0
2026-01-22/3,钛白粉,1.0
2026-01-22/3,机械设备,1.0
2026-01-22/3,铜箔,1.0
2026-01-22/3,工业气体,1.0
2026-01-22/3,基础化工,1.0
2026-01-22/3,可控核聚变,1.0
2026-01-22/3,航天,1.0
2026-01-22/3,化妆品代工,1.0
2026-01-22/3,AI视频生成,1.0
2026-01-22/3,能源设备,1.0
2026-01-22/3,锂矿,1.0
2026-01-22/3,玻璃基板,1.0
2026-01-22/3,家电,0.5
