时间,板块,得分
2026-01-15/1,汽车零部件,5.0
2026-01-15/1,锂电池,4.0
2026-01-15/1,网络安全,3.0
2026-01-15/1,风电,3.0
2026-01-15/1,医疗器械,2.0
2026-01-15/1,互联网服务,2.0
2026-01-15/1,半导体,2.0
2026-01-15/1,汽车,2.0
2026-01-15/1,文化传媒,2.0
2026-01-15/1,机器人,2.0
2026-01-15/1,机械设备,2.0
2026-01-15/1,传媒,2.0
2026-01-15/1,化工,2.0
2026-01-15/1,电网,2.0
2026-01-15/1,国防军工,1.5
2026-01-15/1,半导体材料,1.0
2026-01-15/1,游戏,1.0
2026-01-15/1,碳纤维,1.0
2026-01-15/1,航天装备,1.0
2026-01-15/1,饲料添加剂,1.0
2026-01-15/1,能源金属,1.0
2026-01-15/1,电池,1.0
2026-01-15/1,软件开发,1.0
2026-01-15/1,生物医药,1.0
2026-01-15/1,电气设备,1.0
2026-01-15/1,液冷,1.0
2026-01-15/1,光伏设备,1.0
2026-01-15/1,商贸零售,1.0
2026-01-15/1,光通信,1.0
2026-01-15/1,氢能源,1.0
2026-01-15/1,玻璃制造,1.0
2026-01-15/1,计算机,1.0
2026-01-15/1,工程机械,1.0
2026-01-15/1,纺织服装,1.0
2026-01-15/1,云计算,1.0
2026-01-15/1,航天,1.0
2026-01-15/1,电力,0.5
2026-01-15/1,固态电池,0.5
