时间,板块,得分
2026-01-16/2,半导体,5.0
2026-01-16/2,人工智能,3.0
2026-01-16/2,风电,3.0
2026-01-16/2,工程机械,3.0
2026-01-16/2,锂电池,2.0
2026-01-16/2,电子,2.0
2026-01-16/2,科技,2.0
2026-01-16/2,铜箔,1.0
2026-01-16/2,输变电设备,1.0
2026-01-16/2,汽车零部件,1.0
2026-01-16/2,金属铬,1.0
2026-01-16/2,氟化工及制冷剂,1.0
2026-01-16/2,半导体材料,1.0
2026-01-16/2,电网设备,1.0
2026-01-16/2,化工,1.0
2026-01-16/2,航天装备,1.0
2026-01-16/2,通信设备,1.0
2026-01-16/2,半导体设备,1.0
2026-01-16/2,通用设备,1.0
2026-01-16/2,电力,1.0
2026-01-16/2,电子元件,1.0
2026-01-16/2,光刻胶,1.0
2026-01-16/2,消费电子,1.0
2026-01-16/2,机械设备,1.0
2026-01-16/2,半导体封测,1.0
2026-01-16/2,汽车电子,1.0
2026-01-16/2,机器人,1.0
2026-01-16/2,半导体测试,1.0
2026-01-16/2,电机,1.0
2026-01-16/2,光模块,1.0
2026-01-16/2,农业,1.0
2026-01-16/2,证券,0.5
