时间,板块,得分
2026-01-06/3,半导体,9.0
2026-01-06/3,电子元件,9.0
2026-01-06/3,化工,6.6
2026-01-06/3,人工智能,4.0
2026-01-06/3,保险,4.0
2026-01-06/3,工程机械,4.0
2026-01-06/3,有色金属,4.0
2026-01-06/3,机器人,4.0
2026-01-06/3,计算机,3.0
2026-01-06/3,燃气轮机,3.0
2026-01-06/3,光伏设备,3.0
2026-01-06/3,医疗器械,3.0
2026-01-06/3,航天航空,3.0
2026-01-06/3,半导体设备,3.0
2026-01-06/3,通信,3.0
2026-01-06/3,钙钛矿电池,3.0
2026-01-06/3,卫星互联网,2.0
2026-01-06/3,PCB,2.0
2026-01-06/3,储能,2.0
2026-01-06/3,固态电池,2.0
2026-01-06/3,航空航天,2.0
2026-01-06/3,脑机接口,2.0
2026-01-06/3,新材料,2.0
2026-01-06/3,铜箔,2.0
2026-01-06/3,计算机应用,2.0
2026-01-06/3,机械设备,1.0
2026-01-06/3,电池,1.0
2026-01-06/3,锂电池,1.0
2026-01-06/3,商业航天,1.0
2026-01-06/3,存储,1.0
2026-01-06/3,有机硅,1.0
2026-01-06/3,航天装备,1.0
2026-01-06/3,智能驾驶,1.0
2026-01-06/3,影视院线,1.0
2026-01-06/3,文化传媒,1.0
2026-01-06/3,电子制造,1.0
2026-01-06/3,光学光电子,1.0
2026-01-06/3,基础化工,1.0
2026-01-06/3,汽车零部件,1.0
2026-01-06/3,物流,1.0
2026-01-06/3,半导体材料,1.0
2026-01-06/3,液冷,1.0
2026-01-06/3,风电,0.5
