时间,板块,得分
2026-01-20/1,化工,5.0
2026-01-20/1,半导体,3.3
2026-01-20/1,电池,2.3
2026-01-20/1,传媒,2.0
2026-01-20/1,电子,2.0
2026-01-20/1,光学光电子,2.0
2026-01-20/1,医药生物,1.0
2026-01-20/1,护理服务,1.0
2026-01-20/1,AI视频,1.0
2026-01-20/1,通信,1.0
2026-01-20/1,电子元件,1.0
2026-01-20/1,国防军工,1.0
2026-01-20/1,半导体设备,1.0
2026-01-20/1,电子皮肤,1.0
2026-01-20/1,免税,1.0
2026-01-20/1,玩具,1.0
2026-01-20/1,计算机,1.0
2026-01-20/1,环保,1.0
2026-01-20/1,电力设备,1.0
2026-01-20/1,航空装备,1.0
2026-01-20/1,半导体封测,1.0
2026-01-20/1,燃气轮机,1.0
2026-01-20/1,机器人,1.0
2026-01-20/1,人工智能,1.0
2026-01-20/1,航空航天,1.0
2026-01-20/1,半导体材料,1.0
2026-01-20/1,房地产开发,1.0
2026-01-20/1,光模块,1.0
2026-01-20/1,光伏设备,1.0
2026-01-20/1,3D打印,1.0
2026-01-20/1,卫星通信,1.0
2026-01-20/1,粉末冶金,1.0
2026-01-20/1,汽车,1.0
2026-01-20/1,核电,0.3
