时间,板块,得分
2026-01-27/2,机械设备,4.0
2026-01-27/2,电子,2.5
2026-01-27/2,半导体,2.0
2026-01-27/2,有色金属,2.0
2026-01-27/2,储能,2.0
2026-01-27/2,风电设备,2.0
2026-01-27/2,计算机,1.5
2026-01-27/2,消费电子,1.0
2026-01-27/2,云计算,1.0
2026-01-27/2,铝,1.0
2026-01-27/2,机器人,1.0
2026-01-27/2,矿山机械,1.0
2026-01-27/2,游戏,1.0
2026-01-27/2,能源,1.0
2026-01-27/2,铜箔,1.0
2026-01-27/2,航天航空,1.0
2026-01-27/2,人工智能,1.0
2026-01-27/2,化工,1.0
2026-01-27/2,电力设备,1.0
2026-01-27/2,电子元件,1.0
2026-01-27/2,汽车制造,1.0
2026-01-27/2,汽车整车,1.0
2026-01-27/2,光伏设备,1.0
2026-01-27/2,航空航天,1.0
2026-01-27/2,卫星互联网,1.0
2026-01-27/2,商业航天,1.0
2026-01-27/2,光模块,1.0
2026-01-27/2,通信设备,1.0
2026-01-27/2,磁电存储,1.0
2026-01-27/2,广告营销,1.0
2026-01-27/2,CPO,1.0
2026-01-27/2,计算机应用,1.0
2026-01-27/2,航运,0.5
