时间,板块,得分
2026-01-22/2,半导体,6.0
2026-01-22/2,机器人,3.0
2026-01-22/2,电力设备,3.0
2026-01-22/2,人工智能,2.0
2026-01-22/2,通信设备,2.0
2026-01-22/2,电子元件,2.0
2026-01-22/2,计算机,2.0
2026-01-22/2,化肥,1.0
2026-01-22/2,免税店,1.0
2026-01-22/2,液冷设备,1.0
2026-01-22/2,医疗器械,1.0
2026-01-22/2,锂,1.0
2026-01-22/2,电池,1.0
2026-01-22/2,PCB,1.0
2026-01-22/2,燃料电池,1.0
2026-01-22/2,CPO,1.0
2026-01-22/2,电子,1.0
2026-01-22/2,新能源汽车,1.0
2026-01-22/2,医药生物,1.0
2026-01-22/2,金融,1.0
2026-01-22/2,中证500,1.0
2026-01-22/2,电机,1.0
2026-01-22/2,机械设备,1.0
2026-01-22/2,PCB设备,1.0
2026-01-22/2,光伏设备,1.0
2026-01-22/2,石油石化,1.0
2026-01-22/2,政府采购,1.0
2026-01-22/2,新材料,1.0
2026-01-22/2,信创,1.0
