时间,板块,得分
2026-01-19/t,化工,12.0
2026-01-19/t,有色金属,11.0
2026-01-19/t,半导体,9.0
2026-01-19/t,机器人,8.0
2026-01-19/t,计算机,8.0
2026-01-19/t,机械设备,7.0
2026-01-19/t,食品饮料,7.0
2026-01-19/t,电力设备,7.0
2026-01-19/t,电子,6.0
2026-01-19/t,电子元件,6.0
2026-01-19/t,消费,6.0
2026-01-19/t,汽车,6.0
2026-01-19/t,半导体设备,5.0
2026-01-19/t,房地产,5.0
2026-01-19/t,零售,5.0
2026-01-19/t,新能源,5.0
2026-01-19/t,商业航天,5.0
2026-01-19/t,传媒,5.0
2026-01-19/t,餐饮,4.0
2026-01-19/t,医药,4.0
2026-01-19/t,通信设备,4.0
2026-01-19/t,环保,3.0
2026-01-19/t,纺织服装,3.0
2026-01-19/t,科技,3.0
2026-01-19/t,非银金融,3.0
2026-01-19/t,汽车零部件,3.0
2026-01-19/t,航天航空,3.0
2026-01-19/t,TMT,3.0
2026-01-19/t,轻工制造,3.0
2026-01-19/t,证券,3.0
2026-01-19/t,贵金属,2.0
2026-01-19/t,医疗服务,2.0
2026-01-19/t,电网设备,2.0
2026-01-19/t,教育,2.0
2026-01-19/t,国防军工,2.0
2026-01-19/t,互联网,2.0
2026-01-19/t,光伏设备,2.0
2026-01-19/t,珠宝首饰,2.0
2026-01-19/t,半导体封测,2.0
2026-01-19/t,消费电子,2.0
2026-01-19/t,银行,2.0
2026-01-19/t,电源设备,2.0
2026-01-19/t,家电,2.0
2026-01-19/t,计算机设备,2.0
2026-01-19/t,交通运输,2.0
2026-01-19/t,煤炭,2.0
2026-01-19/t,储能,2.0
2026-01-19/t,核聚变,2.0
2026-01-19/t,物流,2.0
2026-01-19/t,建筑材料,1.0
2026-01-19/t,医疗器械,1.0
2026-01-19/t,航空发动机,1.0
2026-01-19/t,沪深300ETF,1.0
2026-01-19/t,计算机应用,1.0
2026-01-19/t,固态电池,1.0
2026-01-19/t,铝,1.0
2026-01-19/t,光学光电子,1.0
2026-01-19/t,商贸零售,1.0
2026-01-19/t,燃气,1.0
2026-01-19/t,电池,1.0
2026-01-19/t,农业,1.0
2026-01-19/t,氢能源,1.0
2026-01-19/t,大宗商品,1.0
2026-01-19/t,CPO,1.0
2026-01-19/t,设备,1.0
2026-01-19/t,光伏,1.0
2026-01-19/t,黄金,1.0
2026-01-19/t,人工智能数据中心,1.0
2026-01-19/t,航天,1.0
2026-01-19/t,风电设备,1.0
2026-01-19/t,酒店及餐饮,1.0
2026-01-19/t,汽车制造,1.0
2026-01-19/t,半导体存储,1.0
2026-01-19/t,医药生物,1.0
2026-01-19/t,机械制造,1.0
2026-01-19/t,债券,1.0
2026-01-19/t,航空装备,1.0
2026-01-19/t,医疗保健,1.0
2026-01-19/t,智能制造,1.0
2026-01-19/t,酒店,1.0
2026-01-19/t,仓储物流,1.0
2026-01-19/t,出海,1.0
2026-01-19/t,商业百货,1.0
2026-01-19/t,人工智能,1.0
2026-01-19/t,宏观,1.0
2026-01-19/t,美妆护肤,1.0
2026-01-19/t,光通信,1.0
2026-01-19/t,资本开支,1.0
2026-01-19/t,光模块,1.0
2026-01-19/t,电子制造,1.0
2026-01-19/t,公用事业,1.0
2026-01-19/t,液冷,1.0
2026-01-19/t,航天军工,1.0
2026-01-19/t,航空航天,1.0
2026-01-19/t,金融,1.0
2026-01-19/t,人力资源服务,1.0
2026-01-19/t,钢铁,1.0
2026-01-19/t,周期品,1.0
2026-01-19/t,铁路运输,1.0
2026-01-19/t,造纸,1.0
2026-01-19/t,航天装备,1.0
2026-01-19/t,新材料,1.0
2026-01-19/t,能源金属,1.0
2026-01-19/t,汽车行业,1.0
2026-01-19/t,互联网医疗,1.0
2026-01-19/t,AI算力,1.0
2026-01-19/t,石油服务,1.0
2026-01-19/t,包装印刷,1.0
2026-01-19/t,电新,1.0
2026-01-19/t,存储芯片,1.0
2026-01-19/t,包装,1.0
2026-01-19/t,保险,1.0
2026-01-19/t,医疗健康,0.0
2026-01-19/t,大飞机,0.0
2026-01-19/t,电源,0.0
2026-01-19/t,农药,0.0
2026-01-19/t,传媒互联网,0.0
2026-01-19/t,禽养殖,0.0
2026-01-19/t,旅游,0.0
2026-01-19/t,3D打印,0.0
2026-01-19/t,基础化工,0.0
