时间,板块,得分
2026-01-22/t,半导体,10.0
2026-01-22/t,机器人,5.0
2026-01-22/t,通信设备,4.0
2026-01-22/t,固态电池,3.0
2026-01-22/t,人工智能,3.0
2026-01-22/t,储能,3.0
2026-01-22/t,计算机,3.0
2026-01-22/t,电子,3.0
2026-01-22/t,化工,3.0
2026-01-22/t,医疗器械,3.0
2026-01-22/t,电气设备,2.0
2026-01-22/t,云计算,2.0
2026-01-22/t,汽车,2.0
2026-01-22/t,机械设备,2.0
2026-01-22/t,燃料电池,2.0
2026-01-22/t,光伏设备,2.0
2026-01-22/t,电子元件,2.0
2026-01-22/t,燃气内燃机,2.0
2026-01-22/t,轮胎,2.0
2026-01-22/t,汽车零部件,2.0
2026-01-22/t,煤炭,2.0
2026-01-22/t,TMT,2.0
2026-01-22/t,餐饮,2.0
2026-01-22/t,免税店,1.0
2026-01-22/t,数据要素,1.0
2026-01-22/t,中证2000,1.0
2026-01-22/t,金融,1.0
2026-01-22/t,航空航天,1.0
2026-01-22/t,医药生物,1.0
2026-01-22/t,科创100,1.0
2026-01-22/t,科创50,1.0
2026-01-22/t,电力设备,1.0
2026-01-22/t,中证500,1.0
2026-01-22/t,新能源汽车,1.0
2026-01-22/t,PCB,1.0
2026-01-22/t,CPO,1.0
2026-01-22/t,液冷设备,1.0
2026-01-22/t,锂,1.0
2026-01-22/t,化肥,1.0
2026-01-22/t,国产算力,1.0
2026-01-22/t,计算机应用,1.0
2026-01-22/t,新材料,1.0
2026-01-22/t,信创,1.0
2026-01-22/t,石油石化,1.0
2026-01-22/t,电机铁芯,1.0
2026-01-22/t,PCB设备,1.0
2026-01-22/t,医疗服务,1.0
2026-01-22/t,AI应用,1.0
2026-01-22/t,光模块,1.0
2026-01-22/t,互联网传媒,1.0
2026-01-22/t,航天装备,1.0
2026-01-22/t,3D打印,1.0
2026-01-22/t,铜,1.0
2026-01-22/t,光学光电子,1.0
2026-01-22/t,卫星互联网,1.0
2026-01-22/t,玻璃基板,1.0
2026-01-22/t,光伏,1.0
2026-01-22/t,煤炭开采,1.0
2026-01-22/t,国产芯片,1.0
2026-01-22/t,商业航天,1.0
2026-01-22/t,半导体设备,1.0
2026-01-22/t,核电核能,1.0
2026-01-22/t,钛白粉,1.0
2026-01-22/t,AI视频生成,1.0
2026-01-22/t,通用设备,1.0
2026-01-22/t,能源设备,1.0
2026-01-22/t,有色金属,1.0
2026-01-22/t,锂矿,1.0
2026-01-22/t,化妆品,1.0
2026-01-22/t,军工,0.5
2026-01-22/t,铜箔,0.3
