时间,板块,得分
2026-01-21/2,国防军工,6.0
2026-01-21/2,半导体,5.0
2026-01-21/2,家电,3.5
2026-01-21/2,食品饮料,3.0
2026-01-21/2,保险,3.0
2026-01-21/2,计算机,2.3
2026-01-21/2,国产算力,2.0
2026-01-21/2,工业机械,2.0
2026-01-21/2,金融,2.0
2026-01-21/2,半导体设备,2.0
2026-01-21/2,ETF,2.0
2026-01-21/2,有色金属,2.0
2026-01-21/2,连锁快餐,2.0
2026-01-21/2,航空航天,2.0
2026-01-21/2,电源设备,2.0
2026-01-21/2,建筑材料,1.0
2026-01-21/2,商贸零售,1.0
2026-01-21/2,计算机应用,1.0
2026-01-21/2,黄金,1.0
2026-01-21/2,玻纤,1.0
2026-01-21/2,光通信,1.0
2026-01-21/2,化工,1.0
2026-01-21/2,存储,1.0
2026-01-21/2,电力,1.0
2026-01-21/2,机械设备,1.0
2026-01-21/2,汽车零部件,1.0
2026-01-21/2,电力设备,1.0
2026-01-21/2,汽车制造,1.0
2026-01-21/2,海外消费,1.0
2026-01-21/2,固态电池,1.0
2026-01-21/2,光模块,1.0
2026-01-21/2,消费,1.0
2026-01-21/2,工程机械,1.0
2026-01-21/2,北交所,1.0
2026-01-21/2,零售,1.0
2026-01-21/2,电池,1.0
2026-01-21/2,金属新材料,1.0
2026-01-21/2,纺织服装,1.0
2026-01-21/2,房地产,1.0
2026-01-21/2,生物医药,1.0
2026-01-21/2,餐饮,1.0
2026-01-21/2,医疗服务,1.0
2026-01-21/2,酒店,1.0
2026-01-21/2,机器人,1.0
2026-01-21/2,传媒,1.0
2026-01-21/2,畜牧养殖,1.0
2026-01-21/2,化妆品,1.0
2026-01-21/2,电气设备,0.5
2026-01-21/2,农林牧渔,0.5
2026-01-21/2,农业,0.5
2026-01-21/2,航天,0.3
2026-01-21/2,美容护理,0.3
