时间,板块,得分
2026-01-13/t,计算机,3.5
2026-01-13/t,有色金属,2.0
2026-01-13/t,存储芯片,2.0
2026-01-13/t,人工智能,1.5
2026-01-13/t,航天航空,1.0
2026-01-13/t,电力设备,1.0
2026-01-13/t,液冷,1.0
2026-01-13/t,存储介质,1.0
2026-01-13/t,数据中心,1.0
2026-01-13/t,生物医药,1.0
2026-01-13/t,电池,1.0
2026-01-13/t,医药生物,1.0
2026-01-13/t,机器人,1.0
2026-01-13/t,航天装备,1.0
2026-01-13/t,医疗服务,1.0
2026-01-13/t,电力,1.0
2026-01-13/t,半导体设备,1.0
2026-01-13/t,电子制造,1.0
2026-01-13/t,化工,1.0
2026-01-13/t,黄金,1.0
2026-01-13/t,卫星通信,1.0
2026-01-13/t,煤炭,1.0
2026-01-13/t,半导体,1.0
2026-01-13/t,金属与材料,0.5
2026-01-13/t,零售,0.5
2026-01-13/t,计算机应用,0.5
2026-01-13/t,养殖,0.5
2026-01-13/t,养殖业,0.5
2026-01-13/t,金属,0.5
2026-01-13/t,建筑材料,0.5
