时间,板块,得分
2026-01-06/2,半导体,4.0
2026-01-06/2,有色金属,4.0
2026-01-06/2,电子元件,4.0
2026-01-06/2,化工,4.0
2026-01-06/2,机器人,4.0
2026-01-06/2,航天航空,3.0
2026-01-06/2,计算机,2.5
2026-01-06/2,脑机接口,2.0
2026-01-06/2,锂电池,2.0
2026-01-06/2,电池,2.0
2026-01-06/2,传媒,1.3
2026-01-06/2,通信设备,1.0
2026-01-06/2,计算机应用,1.0
2026-01-06/2,集成电路,1.0
2026-01-06/2,石英制品,1.0
2026-01-06/2,新材料,1.0
2026-01-06/2,汽车零部件,1.0
2026-01-06/2,消费电子,1.0
2026-01-06/2,旅游零售,1.0
2026-01-06/2,机械设备,1.0
2026-01-06/2,半导体设备,1.0
2026-01-06/2,面板,1.0
2026-01-06/2,固态电池,1.0
