时间,板块,得分
2026-01-07/2,半导体,10.0
2026-01-07/2,液冷,6.0
2026-01-07/2,航空航天,4.0
2026-01-07/2,计算机,3.0
2026-01-07/2,光通信,3.0
2026-01-07/2,商业航天,3.0
2026-01-07/2,光刻胶,3.0
2026-01-07/2,半导体设备,3.0
2026-01-07/2,电子,2.0
2026-01-07/2,化工,2.0
2026-01-07/2,锂电池,2.0
2026-01-07/2,医疗器械,2.0
2026-01-07/2,汽车零部件,2.0
2026-01-07/2,航天航空,2.0
2026-01-07/2,基础化工,2.0
2026-01-07/2,电子元件,1.0
2026-01-07/2,专用设备,1.0
2026-01-07/2,有色金属,1.0
2026-01-07/2,存储,1.0
2026-01-07/2,生物医药,1.0
2026-01-07/2,家电,1.0
2026-01-07/2,广告营销,1.0
2026-01-07/2,食品饮料,1.0
2026-01-07/2,军工,1.0
2026-01-07/2,光伏,1.0
2026-01-07/2,航天装备,1.0
2026-01-07/2,电气设备,1.0
2026-01-07/2,锂电设备,1.0
2026-01-07/2,机械设备,1.0
2026-01-07/2,国产算力,1.0
2026-01-07/2,核能,1.0
2026-01-07/2,铝,1.0
2026-01-07/2,电力设备,1.0
2026-01-07/2,北交所,1.0
2026-01-07/2,汽车电子,1.0
2026-01-07/2,贵金属,1.0
2026-01-07/2,汽车整车,1.0
2026-01-07/2,电源设备,1.0
2026-01-07/2,光模块,1.0
2026-01-07/2,存储芯片,1.0
2026-01-07/2,保险,1.0
2026-01-07/2,智能驾驶,1.0
2026-01-07/2,机器人,1.0
2026-01-07/2,旅游,1.0
2026-01-07/2,材料行业,1.0
2026-01-07/2,汽车,0.5
2026-01-07/2,工业母机,0.5
2026-01-07/2,养殖业,0.3
2026-01-07/2,农林牧渔,0.3
2026-01-07/2,人工智能,0.3
2026-01-07/2,医药生物,0.3
