时间,板块,得分
2026-01-26/t,半导体,6.0
2026-01-26/t,机器人,5.0
2026-01-26/t,光伏设备,5.0
2026-01-26/t,金融,4.0
2026-01-26/t,食品饮料,4.0
2026-01-26/t,人工智能,3.3
2026-01-26/t,机械设备,3.0
2026-01-26/t,有色金属,3.0
2026-01-26/t,计算机,2.5
2026-01-26/t,新能源,2.0
2026-01-26/t,计算机应用,2.0
2026-01-26/t,固态电池,2.0
2026-01-26/t,化工,2.0
2026-01-26/t,光伏,2.0
2026-01-26/t,航天,1.5
2026-01-26/t,煤炭,1.3
2026-01-26/t,IDC,1.0
2026-01-26/t,国企改革,1.0
2026-01-26/t,储能,1.0
2026-01-26/t,电池,1.0
2026-01-26/t,小金属,1.0
2026-01-26/t,云计算,1.0
2026-01-26/t,服务器,1.0
2026-01-26/t,电子元件,1.0
2026-01-26/t,卫星互联网,1.0
2026-01-26/t,核聚变设备,1.0
2026-01-26/t,燃气轮机,1.0
2026-01-26/t,电力设备,1.0
2026-01-26/t,生物制品,1.0
2026-01-26/t,存储芯片,1.0
2026-01-26/t,煤炭开采,1.0
2026-01-26/t,石油石化,1.0
2026-01-26/t,数据中心,0.5
2026-01-26/t,算力,0.5
2026-01-26/t,军工,0.5
2026-01-26/t,航运,0.5
2026-01-26/t,家居用品,0.3
