时间,板块,得分
2026-01-14/2,半导体,7.0
2026-01-14/2,航天航空,6.0
2026-01-14/2,消费电子,5.0
2026-01-14/2,人工智能,5.0
2026-01-14/2,计算机,4.9
2026-01-14/2,计算机应用,4.0
2026-01-14/2,电气设备,3.5
2026-01-14/2,汽车零部件,3.0
2026-01-14/2,电力设备,3.0
2026-01-14/2,半导体封测,3.0
2026-01-14/2,锂电池,3.0
2026-01-14/2,储能,2.0
2026-01-14/2,固态电池,2.0
2026-01-14/2,液冷,2.0
2026-01-14/2,电子,2.0
2026-01-14/2,燃气轮机,2.0
2026-01-14/2,航天装备,2.0
2026-01-14/2,新材料,2.0
2026-01-14/2,航天,1.3
2026-01-14/2,PCB设备,1.0
2026-01-14/2,机器人,1.0
2026-01-14/2,存储芯片,1.0
2026-01-14/2,贵金属,1.0
2026-01-14/2,铝,1.0
2026-01-14/2,环保设备,1.0
2026-01-14/2,有色金属,1.0
2026-01-14/2,游戏,1.0
2026-01-14/2,农业,1.0
2026-01-14/2,光伏设备,1.0
2026-01-14/2,光伏,1.0
2026-01-14/2,新能源汽车,1.0
2026-01-14/2,创新药,1.0
2026-01-14/2,存储,1.0
2026-01-14/2,锂矿,1.0
2026-01-14/2,数字媒体,1.0
2026-01-14/2,航空,1.0
2026-01-14/2,商业贸易,1.0
2026-01-14/2,电子商务,1.0
2026-01-14/2,风电,1.0
2026-01-14/2,船舶制造,0.6
2026-01-14/2,工业自动化,0.3
2026-01-14/2,工业AI,0.3
2026-01-14/2,医疗器械,0.3
2026-01-14/2,3D打印,0.3
