时间,板块,得分
2026-01-27/3,半导体,6.0
2026-01-27/3,人工智能,5.0
2026-01-27/3,食品饮料,4.0
2026-01-27/3,航天,4.0
2026-01-27/3,纺织服装,2.5
2026-01-27/3,计算机,2.3
2026-01-27/3,电子元件,2.0
2026-01-27/3,新能源,2.0
2026-01-27/3,机器人,1.0
2026-01-27/3,风电,1.0
2026-01-27/3,储能,1.0
2026-01-27/3,服装家纺,1.0
2026-01-27/3,云计算,1.0
2026-01-27/3,黄金,1.0
2026-01-27/3,汽车,1.0
2026-01-27/3,算力租赁,1.0
2026-01-27/3,机械设备,1.0
2026-01-27/3,燃气轮机,1.0
2026-01-27/3,算力基础设施,1.0
2026-01-27/3,航空航天,1.0
2026-01-27/3,锂电池,1.0
2026-01-27/3,玻璃制造,1.0
2026-01-27/3,光模块,1.0
2026-01-27/3,卫星通信,1.0
2026-01-27/3,航天航空,1.0
2026-01-27/3,生物医药,1.0
2026-01-27/3,商业航天,1.0
2026-01-27/3,电子元器件分销,1.0
2026-01-27/3,PCB,1.0
2026-01-27/3,养殖业,0.3
