时间,板块,得分
2026-01-28/t,半导体,9.0
2026-01-28/t,半导体设备,6.0
2026-01-28/t,机械设备,6.0
2026-01-28/t,商业航天,5.0
2026-01-28/t,有色金属,5.0
2026-01-28/t,光伏设备,5.0
2026-01-28/t,电力设备,5.0
2026-01-28/t,化工,4.3
2026-01-28/t,云计算,4.0
2026-01-28/t,计算机,3.0
2026-01-28/t,机器人,3.0
2026-01-28/t,传感器,3.0
2026-01-28/t,电气设备,3.0
2026-01-28/t,电子,2.5
2026-01-28/t,存储,2.0
2026-01-28/t,电力,2.0
2026-01-28/t,通信设备,2.0
2026-01-28/t,电池,2.0
2026-01-28/t,社服,2.0
2026-01-28/t,计算机设备,2.0
2026-01-28/t,煤炭,2.0
2026-01-28/t,专用设备,2.0
2026-01-28/t,存储芯片,2.0
2026-01-28/t,电子元件,2.0
2026-01-28/t,消费,2.0
2026-01-28/t,光模块,1.0
2026-01-28/t,算力,1.0
2026-01-28/t,光通信,1.0
2026-01-28/t,计算机应用,1.0
2026-01-28/t,保险,1.0
2026-01-28/t,汽车整车,1.0
2026-01-28/t,汽车电子,1.0
2026-01-28/t,IDC,1.0
2026-01-28/t,光纤光缆,1.0
2026-01-28/t,光伏,1.0
2026-01-28/t,电源设备,1.0
2026-01-28/t,工业机械,1.0
2026-01-28/t,贵金属,1.0
2026-01-28/t,液冷散热,1.0
2026-01-28/t,石油石化,1.0
2026-01-28/t,矿业设备,1.0
2026-01-28/t,黄金珠宝,1.0
2026-01-28/t,铝,1.0
2026-01-28/t,软件开发,1.0
2026-01-28/t,液冷板,1.0
2026-01-28/t,半导体材料,1.0
2026-01-28/t,人工智能,1.0
2026-01-28/t,金融,1.0
2026-01-28/t,宏观策略,1.0
2026-01-28/t,铝塑膜,1.0
2026-01-28/t,金属与材料,0.5
2026-01-28/t,军工,0.5
2026-01-28/t,工程机械,0.3
2026-01-28/t,船舶制造,0.3
