时间,板块,得分
2026-01-09/2,半导体,5.0
2026-01-09/2,工程机械,2.0
2026-01-09/2,国防军工,2.0
2026-01-09/2,燃料电池,2.0
2026-01-09/2,贵金属,2.0
2026-01-09/2,计算机应用,2.0
2026-01-09/2,营销服务,1.0
2026-01-09/2,3D打印,1.0
2026-01-09/2,卫星互联网,1.0
2026-01-09/2,计算机,1.0
2026-01-09/2,消费电子,1.0
2026-01-09/2,燃气轮机,1.0
2026-01-09/2,有色金属,1.0
2026-01-09/2,玻璃,1.0
2026-01-09/2,航天装备,1.0
2026-01-09/2,半导体设备,1.0
2026-01-09/2,航空航天,1.0
2026-01-09/2,半导体封测,1.0
2026-01-09/2,IDC,1.0
2026-01-09/2,电商服务,1.0
2026-01-09/2,机器人,1.0
2026-01-09/2,商业航天,1.0
2026-01-09/2,玻璃制造,1.0
2026-01-09/2,电力设备,1.0
2026-01-09/2,证券,0.0
2026-01-09/2,黄金,0.0
