时间,板块,得分
2026-01-28/3,机械设备,8.5
2026-01-28/3,电力设备,5.0
2026-01-28/3,化工,4.3
2026-01-28/3,半导体设备,4.0
2026-01-28/3,有色金属,3.5
2026-01-28/3,存储芯片,3.0
2026-01-28/3,计算机,3.0
2026-01-28/3,商业航天,3.0
2026-01-28/3,半导体,2.3
2026-01-28/3,煤炭,2.0
2026-01-28/3,家电行业,2.0
2026-01-28/3,机器人,2.0
2026-01-28/3,光伏设备,2.0
2026-01-28/3,宏观经济,2.0
2026-01-28/3,航天,2.0
2026-01-28/3,消费,2.0
2026-01-28/3,半导体材料,1.0
2026-01-28/3,液冷板,1.0
2026-01-28/3,黄金,1.0
2026-01-28/3,软件开发,1.0
2026-01-28/3,铝,1.0
2026-01-28/3,计算机设备,1.0
2026-01-28/3,充电桩,1.0
2026-01-28/3,电子元件,1.0
2026-01-28/3,固态电池,1.0
2026-01-28/3,黄金珠宝,1.0
2026-01-28/3,金属矿采选,1.0
2026-01-28/3,石油石化,1.0
2026-01-28/3,电气设备,1.0
2026-01-28/3,半导体及元件,1.0
2026-01-28/3,存储,1.0
2026-01-28/3,人工智能,1.0
2026-01-28/3,电子,1.0
2026-01-28/3,贵金属,1.0
2026-01-28/3,军工,0.5
2026-01-28/3,工程机械,0.3
2026-01-28/3,船舶制造,0.3
