时间,板块,得分
2026-01-27/1,半导体,3.0
2026-01-27/1,光伏设备,2.0
2026-01-27/1,人工智能,2.0
2026-01-27/1,风电,2.0
2026-01-27/1,云计算,2.0
2026-01-27/1,锂电池,1.5
2026-01-27/1,汽车零部件,1.0
2026-01-27/1,互联网电商,1.0
2026-01-27/1,锂,1.0
2026-01-27/1,芯片,1.0
2026-01-27/1,电源设备,1.0
2026-01-27/1,航天装备,1.0
2026-01-27/1,航天,1.0
2026-01-27/1,铝塑膜,1.0
2026-01-27/1,机械设备,1.0
2026-01-27/1,电池,1.0
2026-01-27/1,软件开发,1.0
2026-01-27/1,计算机应用,1.0
2026-01-27/1,液冷,1.0
2026-01-27/1,贵金属,1.0
2026-01-27/1,黄金,1.0
2026-01-27/1,算力租赁,1.0
2026-01-27/1,国产AI板块,1.0
2026-01-27/1,计算机,1.0
2026-01-27/1,光通信,1.0
2026-01-27/1,电子,1.0
