时间,板块,得分
2026-01-08/2,半导体,4.0
2026-01-08/2,贵金属,2.5
2026-01-08/2,周期行业,2.0
2026-01-08/2,电子,2.0
2026-01-08/2,电子元件,2.0
2026-01-08/2,半导体设备,2.0
2026-01-08/2,人工智能,2.0
2026-01-08/2,卫星通信,2.0
2026-01-08/2,3D打印,1.0
2026-01-08/2,半导体材料,1.0
2026-01-08/2,游戏,1.0
2026-01-08/2,计算机设备,1.0
2026-01-08/2,存储芯片,1.0
2026-01-08/2,光学光电子,1.0
2026-01-08/2,光模块,1.0
2026-01-08/2,航运,1.0
2026-01-08/2,先进封装,1.0
2026-01-08/2,光伏,1.0
2026-01-08/2,商业航天,1.0
2026-01-08/2,航空航天,1.0
2026-01-08/2,机械设备,1.0
2026-01-08/2,国产算力,1.0
2026-01-08/2,通信设备,1.0
2026-01-08/2,航天装备,1.0
2026-01-08/2,营销服务,1.0
2026-01-08/2,计算机,0.6
