时间,板块,得分
2026-01-15/3,半导体,6.0
2026-01-15/3,半导体设备,3.0
2026-01-15/3,电子,3.0
2026-01-15/3,人工智能,3.0
2026-01-15/3,科技,3.0
2026-01-15/3,电力设备,2.0
2026-01-15/3,半导体材料,2.0
2026-01-15/3,互联网服务,2.0
2026-01-15/3,工程机械,2.0
2026-01-15/3,机械设备,2.0
2026-01-15/3,电网设备,2.0
2026-01-15/3,国防军工,1.0
2026-01-15/3,贵金属,1.0
2026-01-15/3,有色金属,1.0
2026-01-15/3,光模块,1.0
2026-01-15/3,AI应用,1.0
2026-01-15/3,光通信,1.0
2026-01-15/3,电子元件,1.0
2026-01-15/3,通用设备,1.0
2026-01-15/3,工业气体,1.0
2026-01-15/3,计算机应用,0.0
2026-01-15/3,计算机,0.0
2026-01-15/3,电力,0.0
