时间,板块,得分
2026-01-27/t,半导体,10.0
2026-01-27/t,人工智能,6.0
2026-01-27/t,机械设备,5.0
2026-01-27/t,航天航空,4.0
2026-01-27/t,云计算,4.0
2026-01-27/t,商业航天,4.0
2026-01-27/t,食品饮料,4.0
2026-01-27/t,有色金属,3.0
2026-01-27/t,储能,3.0
2026-01-27/t,计算机应用,3.0
2026-01-27/t,光伏设备,3.0
2026-01-27/t,风电,3.0
2026-01-27/t,电子元件,3.0
2026-01-27/t,纺织服装,2.5
2026-01-27/t,电子,2.5
2026-01-27/t,锂电池,2.5
2026-01-27/t,计算机,2.3
2026-01-27/t,算力租赁,2.0
2026-01-27/t,新能源,2.0
2026-01-27/t,汽车整车,2.0
2026-01-27/t,机器人,2.0
2026-01-27/t,国产AI,2.0
2026-01-27/t,光通信,2.0
2026-01-27/t,通用设备,2.0
2026-01-27/t,能源,2.0
2026-01-27/t,风电设备,2.0
2026-01-27/t,电源设备,1.0
2026-01-27/t,铝塑膜,1.0
2026-01-27/t,互联网电商,1.0
2026-01-27/t,软件开发,1.0
2026-01-27/t,卫星产业链,1.0
2026-01-27/t,汽车零部件,1.0
2026-01-27/t,养殖业,1.0
2026-01-27/t,铝,1.0
2026-01-27/t,AI应用,1.0
2026-01-27/t,游戏,1.0
2026-01-27/t,液冷,1.0
2026-01-27/t,黄金,1.0
2026-01-27/t,电力设备,1.0
2026-01-27/t,贵金属,1.0
2026-01-27/t,卫星互联网,1.0
2026-01-27/t,航空航天,1.0
2026-01-27/t,互联网广告,1.0
2026-01-27/t,CPO,1.0
2026-01-27/t,磁电存储,1.0
2026-01-27/t,铜箔,1.0
2026-01-27/t,消费电子,1.0
2026-01-27/t,矿山机械,1.0
2026-01-27/t,生物医药,1.0
2026-01-27/t,通信设备,1.0
2026-01-27/t,小金属,1.0
2026-01-27/t,光模块,1.0
2026-01-27/t,服装家纺,1.0
2026-01-27/t,汽车制造,1.0
2026-01-27/t,大飞机,1.0
2026-01-27/t,算力基础设施,1.0
2026-01-27/t,PCB,1.0
2026-01-27/t,玻璃制造,1.0
2026-01-27/t,卫星通信,1.0
2026-01-27/t,电池,1.0
2026-01-27/t,电子元器件分销,1.0
2026-01-27/t,航天,0.5
2026-01-27/t,航运,0.5
2026-01-27/t,计算机设备,0.3
