时间,板块,得分
2026-01-07/t,半导体,16.0
2026-01-07/t,液冷,10.0
2026-01-07/t,存储,5.0
2026-01-07/t,汽车零部件,5.0
2026-01-07/t,电子元件,4.0
2026-01-07/t,航天航空,4.0
2026-01-07/t,机器人,3.0
2026-01-07/t,环保,3.0
2026-01-07/t,半导体材料,3.0
2026-01-07/t,工程机械,3.0
2026-01-07/t,半导体设备,3.0
2026-01-07/t,航空航天,3.0
2026-01-07/t,电力设备,3.0
2026-01-07/t,化工,3.0
2026-01-07/t,航天,2.0
2026-01-07/t,光刻胶,2.0
2026-01-07/t,基础化工,2.0
2026-01-07/t,光通信,2.0
2026-01-07/t,煤炭,2.0
2026-01-07/t,锂电池,2.0
2026-01-07/t,液冷散热,2.0
2026-01-07/t,计算机,2.0
2026-01-07/t,医疗器械,2.0
2026-01-07/t,贵金属,2.0
2026-01-07/t,锂电设备,2.0
2026-01-07/t,有色金属,2.0
2026-01-07/t,核电,1.0
2026-01-07/t,航天装备,1.0
2026-01-07/t,无人驾驶,1.0
2026-01-07/t,PCB,1.0
2026-01-07/t,电子,1.0
2026-01-07/t,食品饮料,1.0
2026-01-07/t,铝,1.0
2026-01-07/t,广告营销,1.0
2026-01-07/t,机械设备,1.0
2026-01-07/t,工业母机,1.0
2026-01-07/t,汽车电子,1.0
2026-01-07/t,国产AI算力,1.0
2026-01-07/t,核能,1.0
2026-01-07/t,计算机设备,1.0
2026-01-07/t,家电,1.0
2026-01-07/t,商业航天,1.0
2026-01-07/t,北交所,1.0
2026-01-07/t,面板,1.0
2026-01-07/t,养殖业,1.0
2026-01-07/t,专用设备,1.0
2026-01-07/t,光伏设备,1.0
2026-01-07/t,云计算,1.0
2026-01-07/t,大数据,1.0
2026-01-07/t,光学光电子,1.0
2026-01-07/t,保险,1.0
2026-01-07/t,医药生物,1.0
2026-01-07/t,旅游,1.0
2026-01-07/t,电源设备,1.0
2026-01-07/t,智能驾驶,1.0
2026-01-07/t,固态电池,1.0
2026-01-07/t,光模块,1.0
2026-01-07/t,汽车整车,1.0
2026-01-07/t,电池,1.0
2026-01-07/t,电气设备,1.0
2026-01-07/t,卫星,1.0
2026-01-07/t,数据中心,1.0
2026-01-07/t,材料行业,1.0
2026-01-07/t,钙钛矿电池,1.0
2026-01-07/t,新能源汽车,1.0
2026-01-07/t,储能,1.0
2026-01-07/t,气体生产,1.0
2026-01-07/t,稀土永磁,1.0
2026-01-07/t,光刻机,1.0
2026-01-07/t,氟化工,1.0
2026-01-07/t,生物医药,1.0
2026-01-07/t,通信设备,1.0
2026-01-07/t,数字货币,0.0
2026-01-07/t,汽车,0.0
2026-01-07/t,农林牧渔,0.0
2026-01-07/t,人工智能,0.0
2026-01-07/t,能源金属,0.0
2026-01-07/t,消费电子,0.0
2026-01-07/t,农业,0.0
