时间,板块,得分
2026-01-19/2,机器人,3.0
2026-01-19/2,计算机,2.5
2026-01-19/2,电力设备,2.3
2026-01-19/2,科技,2.0
2026-01-19/2,化工,2.0
2026-01-19/2,AIDC,2.0
2026-01-19/2,有色金属,2.0
2026-01-19/2,新能源,2.0
2026-01-19/2,半导体,2.0
2026-01-19/2,电子元件,2.0
2026-01-19/2,航天,2.0
2026-01-19/2,商业航天,1.3
2026-01-19/2,ETF,1.0
2026-01-19/2,银行,1.0
2026-01-19/2,铝,1.0
2026-01-19/2,半导体封测,1.0
2026-01-19/2,电子,1.0
2026-01-19/2,电池,1.0
2026-01-19/2,机械设备,1.0
2026-01-19/2,黄金,1.0
2026-01-19/2,光伏设备,1.0
2026-01-19/2,家电,0.5
2026-01-19/2,餐饮,0.5
