时间,板块,得分
2026-01-05/t,人工智能,4.0
2026-01-05/t,医疗器械,4.0
2026-01-05/t,固态电池,3.3
2026-01-05/t,半导体,3.0
2026-01-05/t,机器人,3.0
2026-01-05/t,有色金属,2.3
2026-01-05/t,消费电子,2.0
2026-01-05/t,航天,2.0
2026-01-05/t,AI产业链,1.0
2026-01-05/t,计算机,1.0
2026-01-05/t,芯片,1.0
2026-01-05/t,汽车零部件,1.0
2026-01-05/t,免税店,1.0
2026-01-05/t,免税,1.0
2026-01-05/t,电池,1.0
2026-01-05/t,通信服务,1.0
2026-01-05/t,数字货币,1.0
2026-01-05/t,电子,1.0
2026-01-05/t,航天装备,1.0
2026-01-05/t,风电,1.0
2026-01-05/t,医药,0.5
2026-01-05/t,航天航空,0.5
2026-01-05/t,计算机应用,0.3
