时间,板块,得分
2026-01-15/t,半导体,9.0
2026-01-15/t,传媒,7.0
2026-01-15/t,电子,5.0
2026-01-15/t,汽车零部件,5.0
2026-01-15/t,人工智能,5.0
2026-01-15/t,科技,5.0
2026-01-15/t,有色金属,5.0
2026-01-15/t,网络安全,4.0
2026-01-15/t,互联网服务,4.0
2026-01-15/t,液冷,4.0
2026-01-15/t,电力设备,4.0
2026-01-15/t,计算机应用,3.0
2026-01-15/t,工程机械,3.0
2026-01-15/t,半导体设备,3.0
2026-01-15/t,电网设备,3.0
2026-01-15/t,电池,3.0
2026-01-15/t,化工,2.0
2026-01-15/t,光伏,2.0
2026-01-15/t,锂电池,2.0
2026-01-15/t,风电,2.0
2026-01-15/t,新材料,2.0
2026-01-15/t,云计算,2.0
2026-01-15/t,通信设备,2.0
2026-01-15/t,医药生物,2.0
2026-01-15/t,电子元件,2.0
2026-01-15/t,光通信,2.0
2026-01-15/t,机器人,2.0
2026-01-15/t,医疗器械,2.0
2026-01-15/t,半导体材料,2.0
2026-01-15/t,国防军工,1.0
2026-01-15/t,固态电池,1.0
2026-01-15/t,计算机设备,1.0
2026-01-15/t,纺织服装,1.0
2026-01-15/t,生物医药,1.0
2026-01-15/t,软件开发,1.0
2026-01-15/t,风电设备,1.0
2026-01-15/t,航天,1.0
2026-01-15/t,汽车,1.0
2026-01-15/t,燃气轮机,1.0
2026-01-15/t,商贸零售,1.0
2026-01-15/t,饲料添加剂,1.0
2026-01-15/t,军工,1.0
2026-01-15/t,能源金属,1.0
2026-01-15/t,饲料,1.0
2026-01-15/t,证券,1.0
2026-01-15/t,光伏设备,1.0
2026-01-15/t,机械设备,1.0
2026-01-15/t,氢能源,1.0
2026-01-15/t,工程建设,1.0
2026-01-15/t,黄金,1.0
2026-01-15/t,PCB,1.0
2026-01-15/t,通信服务,1.0
2026-01-15/t,农药,1.0
2026-01-15/t,储能,1.0
2026-01-15/t,存储,1.0
2026-01-15/t,贵金属,1.0
2026-01-15/t,通用设备,1.0
2026-01-15/t,工业气体,1.0
2026-01-15/t,电子化学品,1.0
2026-01-15/t,特高压,1.0
2026-01-15/t,锂电设备,1.0
2026-01-15/t,航天装备,0.0
2026-01-15/t,计算机,0.0
2026-01-15/t,电力,0.0
