时间,板块,得分
2026-01-25/1,半导体,10.0
2026-01-25/1,光伏设备,9.0
2026-01-25/1,计算机,8.1
2026-01-25/1,机器人,8.0
2026-01-25/1,固态电池,5.5
2026-01-25/1,航天,5.5
2026-01-25/1,建筑材料,5.0
2026-01-25/1,光伏,5.0
2026-01-25/1,人工智能,5.0
2026-01-25/1,电机,4.0
2026-01-25/1,金融,4.0
2026-01-25/1,新能源,3.0
2026-01-25/1,有色金属,3.0
2026-01-25/1,机械设备,3.0
2026-01-25/1,航天航空,3.0
2026-01-25/1,中药,3.0
2026-01-25/1,半导体设备,2.0
2026-01-25/1,证券,2.0
2026-01-25/1,航天装备,2.0
2026-01-25/1,钙钛矿电池,2.0
2026-01-25/1,通信设备,2.0
2026-01-25/1,商业航天,2.0
2026-01-25/1,光模块,2.0
2026-01-25/1,服务器,2.0
2026-01-25/1,零售美护,2.0
2026-01-25/1,计算机应用,2.0
2026-01-25/1,储能,2.0
2026-01-25/1,互联网,1.3
2026-01-25/1,传媒,1.3
2026-01-25/1,数据中心,1.0
2026-01-25/1,卫星通信,1.0
2026-01-25/1,非银金融,1.0
2026-01-25/1,电子元件,1.0
2026-01-25/1,汽车零部件,1.0
2026-01-25/1,贵金属,1.0
2026-01-25/1,算力,1.0
2026-01-25/1,消费电子,1.0
2026-01-25/1,存储芯片,1.0
2026-01-25/1,新材料,1.0
2026-01-25/1,白酒,1.0
2026-01-25/1,燃气,1.0
2026-01-25/1,房地产,1.0
2026-01-25/1,磷化工,1.0
2026-01-25/1,铝,1.0
2026-01-25/1,养殖业,1.0
2026-01-25/1,生物燃料,1.0
2026-01-25/1,激光设备,1.0
2026-01-25/1,卫星互联网,1.0
2026-01-25/1,存储,1.0
2026-01-25/1,航空航天,1.0
2026-01-25/1,游戏,1.0
2026-01-25/1,公用事业,1.0
2026-01-25/1,锂电池,1.0
2026-01-25/1,钢铁,1.0
2026-01-25/1,黄金,1.0
2026-01-25/1,半导体材料,0.6
2026-01-25/1,通信服务,0.6
2026-01-25/1,轻工制造,0.3
2026-01-25/1,建筑装饰,0.3
