时间,板块,得分
2026-01-18/1,半导体,3.0
2026-01-18/1,机器人,2.0
2026-01-18/1,轻工制造,2.0
2026-01-18/1,电力,2.0
2026-01-18/1,电网设备,1.0
2026-01-18/1,有色金属,1.0
2026-01-18/1,储能,1.0
2026-01-18/1,环保,1.0
2026-01-18/1,AI应用,1.0
2026-01-18/1,动力电池回收,1.0
2026-01-18/1,纺织服装,1.0
2026-01-18/1,银行,1.0
2026-01-18/1,数据中心,1.0
2026-01-18/1,科技,1.0
2026-01-18/1,通信服务,1.0
2026-01-18/1,太空能源,1.0
2026-01-18/1,化工,1.0
2026-01-18/1,电力设备,1.0
2026-01-18/1,燃气发动机,1.0
2026-01-18/1,通用设备,1.0
2026-01-18/1,航天航空,1.0
2026-01-18/1,机械设备,0.0
2026-01-18/1,风电,0.0
