时间,板块,得分
2026-01-25/t,半导体,9.3
2026-01-25/t,计算机,8.3
2026-01-25/t,机器人,8.0
2026-01-25/t,光伏设备,7.0
2026-01-25/t,光伏,7.0
2026-01-25/t,金融,6.0
2026-01-25/t,固态电池,5.0
2026-01-25/t,建筑材料,5.0
2026-01-25/t,人工智能,4.0
2026-01-25/t,通信设备,3.0
2026-01-25/t,计算机应用,3.0
2026-01-25/t,中药,3.0
2026-01-25/t,电机,3.0
2026-01-25/t,商业航天,2.5
2026-01-25/t,航天航空,2.5
2026-01-25/t,有色金属,2.0
2026-01-25/t,航天装备,2.0
2026-01-25/t,储能,2.0
2026-01-25/t,电气设备,2.0
2026-01-25/t,专用设备,2.0
2026-01-25/t,半导体设备,2.0
2026-01-25/t,新能源,2.0
2026-01-25/t,服务器,2.0
2026-01-25/t,光模块,2.0
2026-01-25/t,零售美护,2.0
2026-01-25/t,互联网,1.3
2026-01-25/t,传媒,1.3
2026-01-25/t,航天军工,1.0
2026-01-25/t,国产算力,1.0
2026-01-25/t,贵金属,1.0
2026-01-25/t,养殖业,1.0
2026-01-25/t,非银金融,1.0
2026-01-25/t,房地产,1.0
2026-01-25/t,磷化工,1.0
2026-01-25/t,白酒,1.0
2026-01-25/t,汽车零部件,1.0
2026-01-25/t,燃气,1.0
2026-01-25/t,数据中心,1.0
2026-01-25/t,存储芯片,1.0
2026-01-25/t,玻璃基板,1.0
2026-01-25/t,卫星互联网,1.0
2026-01-25/t,卫星,1.0
2026-01-25/t,钙钛矿电池,1.0
2026-01-25/t,3D打印,1.0
2026-01-25/t,游戏,1.0
2026-01-25/t,算力,1.0
2026-01-25/t,公用事业,1.0
2026-01-25/t,锂电池,1.0
2026-01-25/t,电子元件,1.0
2026-01-25/t,黄金,1.0
2026-01-25/t,存储,1.0
2026-01-25/t,生物燃料,1.0
2026-01-25/t,航天,1.0
2026-01-25/t,通用设备,1.0
2026-01-25/t,铝,1.0
2026-01-25/t,钢铁,1.0
2026-01-25/t,证券,1.0
2026-01-25/t,机械设备,0.5
2026-01-25/t,玩具,0.3
2026-01-25/t,通信服务,0.3
2026-01-25/t,半导体材料,0.3
2026-01-25/t,钢结构,0.3
