时间,个股,得分
2026-01-05/2,三博脑科,3.0
2026-01-05/2,创新医疗,3.0
2026-01-05/2,飞沃科技,3.0
2026-01-05/2,翔宇医疗,3.0
2026-01-05/2,中国铝业,2.0
2026-01-05/2,宏创控股,2.0
2026-01-05/2,天山铝业,2.0
2026-01-05/2,华菱线缆,2.0
2026-01-05/2,西测测试,2.0
2026-01-05/2,陕西华达,2.0
2026-01-05/2,中科星图,2.0
2026-01-05/2,海光信息,2.0
2026-01-05/2,寒武纪,2.0
2026-01-05/2,中芯国际,2.0
2026-01-05/2,美好医疗,2.0
2026-01-05/2,王府井,2.0
2026-01-05/2,麦澜德,2.0
2026-01-05/2,爱朋医疗,2.0
2026-01-05/2,云铝股份,2.0
2026-01-05/2,中孚实业,2.0
2026-01-05/2,神火股份,2.0
2026-01-05/2,联赢激光,2.0
2026-01-05/2,苏试试验,2.0
2026-01-05/2,中航重机,2.0
2026-01-05/2,西部材料,2.0
2026-01-05/2,国博电子,2.0
2026-01-05/2,超捷股份,2.0
2026-01-05/2,广联航空,2.0
2026-01-05/2,中国卫通,2.0
2026-01-05/2,高华科技,2.0
2026-01-05/2,今创集团,2.0
2026-01-05/2,天力复合,2.0
2026-01-05/2,斯瑞新材,2.0
2026-01-05/2,震有科技,2.0
2026-01-05/2,海格通信,2.0
2026-01-05/2,佳缘科技,2.0
2026-01-05/2,顺灏股份,2.0
2026-01-05/2,中国中免,2.0
2026-01-05/2,钧达股份,2.0
2026-01-05/2,东方日升,2.0
2026-01-05/2,中集安瑞科,2.0
2026-01-05/2,双良节能,2.0
2026-01-05/2,普利特,2.0
2026-01-05/2,富士达,2.0
2026-01-05/2,安徽合力,2.0
2026-01-05/2,国机精工,2.0
2026-01-05/2,上海港湾,2.0
2026-01-05/2,宁德时代,1.0
2026-01-05/2,科创AIETF鹏华,1.0
2026-01-05/2,科创半导体ETF鹏华,1.0
2026-01-05/2,科创芯片ETF指数,1.0
2026-01-05/2,赢合科技,1.0
2026-01-05/2,锡装股份,1.0
2026-01-05/2,机器人ETF鹏华,1.0
2026-01-05/2,明泰铝业,1.0
2026-01-05/2,华峰铝业,1.0
2026-01-05/2,华通线缆,1.0
2026-01-05/2,南山铝业,1.0
2026-01-05/2,中国宏桥,1.0
2026-01-05/2,博苑股份,1.0
2026-01-05/2,容百科技,1.0
2026-01-05/2,金龙羽,1.0
2026-01-05/2,宇信科技,1.0
2026-01-05/2,京北方,1.0
2026-01-05/2,长亮科技,1.0
2026-01-05/2,博拓生物,1.0
2026-01-05/2,珠免集团,1.0
2026-01-05/2,纳科诺尔,1.0
2026-01-05/2,麒麟信安,1.0
2026-01-05/2,心玮医疗,1.0
2026-01-05/2,厦钨新能,1.0
2026-01-05/2,国瓷材料,1.0
2026-01-05/2,中一科技,1.0
2026-01-05/2,海亮股份,1.0
2026-01-05/2,三花智控,1.0
2026-01-05/2,恒立液压,1.0
2026-01-05/2,浙江荣泰,1.0
2026-01-05/2,拓普集团,1.0
2026-01-05/2,五洲新春,1.0
2026-01-05/2,模塑科技,1.0
2026-01-05/2,万向钱潮,1.0
2026-01-05/2,蓝思科技,1.0
2026-01-05/2,北特科技,1.0
2026-01-05/2,震裕科技,1.0
2026-01-05/2,利通科技,1.0
2026-01-05/2,凌志软件,1.0
2026-01-05/2,狄耐克,1.0
2026-01-05/2,东微半导,1.0
2026-01-05/2,岩山科技,1.0
2026-01-05/2,盈趣科技,1.0
2026-01-05/2,诚益通,1.0
2026-01-05/2,中坚科技,1.0
2026-01-05/2,汇成股份,1.0
2026-01-05/2,中科蓝迅,1.0
2026-01-05/2,星宸科技,1.0
2026-01-05/2,恒玄科技,1.0
2026-01-05/2,瑞芯微,1.0
2026-01-05/2,晶晨股份,1.0
2026-01-05/2,全志科技,1.0
2026-01-05/2,乐鑫科技,1.0
2026-01-05/2,地平线,1.0
2026-01-05/2,经纬恒润,1.0
2026-01-05/2,德赛西威,1.0
2026-01-05/2,理想汽车,1.0
2026-01-05/2,小鹏汽车,1.0
2026-01-05/2,海南发展,1.0
2026-01-05/2,金山办公,1.0
2026-01-05/2,合合信息,1.0
2026-01-05/2,信安世纪,1.0
2026-01-05/2,华策影视,1.0
2026-01-05/2,广电运通,1.0
2026-01-05/2,新大陆,1.0
2026-01-05/2,楚天龙,1.0
2026-01-05/2,拉卡拉,1.0
2026-01-05/2,新国都,1.0
2026-01-05/2,炬芯科技,1.0
2026-01-05/2,纳芯微,1.0
2026-01-05/2,圣邦股份,1.0
2026-01-05/2,晶丰明源,1.0
2026-01-05/2,中科飞测,1.0
2026-01-05/2,北方华创,1.0
2026-01-05/2,拓荆科技,1.0
2026-01-05/2,中微公司,1.0
2026-01-05/2,格科微,1.0
2026-01-05/2,思特威,1.0
2026-01-05/2,燕东微,1.0
2026-01-05/2,珂玛科技,1.0
2026-01-05/2,华润微,1.0
2026-01-05/2,晶合集成,1.0
2026-01-05/2,上海新阳,1.0
2026-01-05/2,安集科技,1.0
2026-01-05/2,京仪装备,1.0
2026-01-05/2,芯源微,1.0
2026-01-05/2,微导纳米,1.0
2026-01-05/2,思瑞浦,1.0
2026-01-05/2,艾为电子,1.0
2026-01-05/2,南芯科技,1.0
2026-01-05/2,杰华特,1.0
2026-01-05/2,金风科技,1.0
2026-01-05/2,三一重能,1.0
2026-01-05/2,明阳智能,1.0
2026-01-05/2,韦尔股份,1.0
2026-01-05/2,东方电气,1.0
2026-01-05/2,恒生电子,0.0
2026-01-05/2,用友网络,0.0
2026-01-05/2,汉得信息,0.0
2026-01-05/2,鼎捷软件,0.0
2026-01-05/2,焦点科技,0.0
2026-01-05/2,蓝色光标,0.0
2026-01-05/2,泛微网络,0.0
