时间,个股,得分
2026-01-26/t,天合光能,7.0
2026-01-26/t,晶科能源,6.0
2026-01-26/t,钧达股份,6.0
2026-01-26/t,东方日升,6.0
2026-01-26/t,帝科股份,5.5
2026-01-26/t,帝尔激光,5.0
2026-01-26/t,迈为股份,5.0
2026-01-26/t,隆基绿能,5.0
2026-01-26/t,德业股份,5.0
2026-01-26/t,科士达,5.0
2026-01-26/t,中国平安,5.0
2026-01-26/t,聚和材料,5.0
2026-01-26/t,明阳智能,5.0
2026-01-26/t,艾罗能源,5.0
2026-01-26/t,双良节能,5.0
2026-01-26/t,高测股份,4.5
2026-01-26/t,舍得酒业,4.0
2026-01-26/t,一鸣食品,4.0
2026-01-26/t,晨光生物,4.0
2026-01-26/t,熊猫乳品,4.0
2026-01-26/t,日辰股份,4.0
2026-01-26/t,甘源食品,4.0
2026-01-26/t,妙可蓝多,4.0
2026-01-26/t,好想你,4.0
2026-01-26/t,来伊份,4.0
2026-01-26/t,索宝蛋白,4.0
2026-01-26/t,劲仔食品,4.0
2026-01-26/t,百合股份,4.0
2026-01-26/t,国信证券,4.0
2026-01-26/t,越秀资本,4.0
2026-01-26/t,西麦食品,4.0
2026-01-26/t,大全能源,4.0
2026-01-26/t,晶科科技,4.0
2026-01-26/t,通威股份,4.0
2026-01-26/t,爱旭股份,4.0
2026-01-26/t,弘元绿能,4.0
2026-01-26/t,协鑫科技,4.0
2026-01-26/t,大金重工,4.0
2026-01-26/t,浙江荣泰,4.0
2026-01-26/t,威力传动,4.0
2026-01-26/t,正泰电源,4.0
2026-01-26/t,林洋能源,4.0
2026-01-26/t,晶澳科技,4.0
2026-01-26/t,阿特斯,4.0
2026-01-26/t,重庆啤酒,4.0
2026-01-26/t,科华数据,4.0
2026-01-26/t,盛弘股份,4.0
2026-01-26/t,捷佳伟创,4.0
2026-01-26/t,新华都,4.0
2026-01-26/t,中国人寿,4.0
2026-01-26/t,仙乐健康,4.0
2026-01-26/t,百龙创园,4.0
2026-01-26/t,隆达股份,4.0
2026-01-26/t,古越龙山,4.0
2026-01-26/t,莱茵生物,4.0
2026-01-26/t,平安银行,4.0
2026-01-26/t,众安在线,4.0
2026-01-26/t,万泽股份,4.0
2026-01-26/t,中国太保,4.0
2026-01-26/t,中信证券,4.0
2026-01-26/t,招商证券,4.0
2026-01-26/t,民生健康,4.0
2026-01-26/t,技源集团,4.0
2026-01-26/t,TCL中环,4.0
2026-01-26/t,新乳业,4.0
2026-01-26/t,珍酒李渡,4.0
2026-01-26/t,三一重能,4.0
2026-01-26/t,均瑶健康,4.0
2026-01-26/t,奥特维,4.0
2026-01-26/t,杰瑞股份,3.5
2026-01-26/t,上海港湾,3.0
2026-01-26/t,常宝股份,3.0
2026-01-26/t,连城数控,3.0
2026-01-26/t,恒立液压,3.0
2026-01-26/t,禾迈股份,3.0
2026-01-26/t,恒勃股份,3.0
2026-01-26/t,泰胜风能,3.0
2026-01-26/t,福斯特,3.0
2026-01-26/t,爱科赛博,3.0
2026-01-26/t,亚玛顿,3.0
2026-01-26/t,三安光电,3.0
2026-01-26/t,乾照光电,3.0
2026-01-26/t,应流股份,3.0
2026-01-26/t,联德股份,3.0
2026-01-26/t,冰轮环境,3.0
2026-01-26/t,英维克,3.0
2026-01-26/t,晶盛机电,3.0
2026-01-26/t,恒辉安防,3.0
2026-01-26/t,北特科技,3.0
2026-01-26/t,海优新材,3.0
2026-01-26/t,荣旗科技,3.0
2026-01-26/t,京山轻机,3.0
2026-01-26/t,潍柴动力,2.5
2026-01-26/t,锅圈,2.0
2026-01-26/t,盐津铺子,2.0
2026-01-26/t,横店东磁,2.0
2026-01-26/t,湖南黄金,2.0
2026-01-26/t,上能电气,2.0
2026-01-26/t,京东方,2.0
2026-01-26/t,赛伍技术,2.0
2026-01-26/t,合盛硅业,2.0
2026-01-26/t,金晶科技,2.0
2026-01-26/t,天洋新材,2.0
2026-01-26/t,纤纳光电,2.0
2026-01-26/t,乐成智能,2.0
2026-01-26/t,琏升科技,2.0
2026-01-26/t,仁烁光能,2.0
2026-01-26/t,极电光能,2.0
2026-01-26/t,协鑫光电,2.0
2026-01-26/t,德沪涂膜,2.0
2026-01-26/t,大正微纳,2.0
2026-01-26/t,拉普拉斯,2.0
2026-01-26/t,清源股份,2.0
2026-01-26/t,通灵股份,2.0
2026-01-26/t,宇邦新材,2.0
2026-01-26/t,正泰新能源,2.0
2026-01-26/t,拓普集团,2.0
2026-01-26/t,永臻股份,2.0
2026-01-26/t,中际联合,2.0
2026-01-26/t,通裕重工,2.0
2026-01-26/t,天顺风能,2.0
2026-01-26/t,起帆电缆,2.0
2026-01-26/t,金雷股份,2.0
2026-01-26/t,东方电缆,2.0
2026-01-26/t,电气风电,2.0
2026-01-26/t,昱能科技,2.0
2026-01-26/t,西典新能,2.0
2026-01-26/t,海博思创,2.0
2026-01-26/t,宏工科技,2.0
2026-01-26/t,纳科诺尔,2.0
2026-01-26/t,同力日升,2.0
2026-01-26/t,先惠技术,2.0
2026-01-26/t,先导智能,2.0
2026-01-26/t,海目星,2.0
2026-01-26/t,宏盛股份,2.0
2026-01-26/t,日联科技,2.0
2026-01-26/t,博盈特焊,2.0
2026-01-26/t,沃尔德,2.0
