时间,个股,得分
2026-01-19/3,普冉股份,5.0
2026-01-19/3,精智达,4.0
2026-01-19/3,六福集团,4.0
2026-01-19/3,大族激光,4.0
2026-01-19/3,洲明科技,4.0
2026-01-19/3,世运电路,4.0
2026-01-19/3,迅捷兴,4.0
2026-01-19/3,顺络电子,4.0
2026-01-19/3,英诺激光,4.0
2026-01-19/3,大族数控,4.0
2026-01-19/3,路维光电,4.0
2026-01-19/3,智立方,4.0
2026-01-19/3,鹏鼎控股,4.0
2026-01-19/3,北方华创,4.0
2026-01-19/3,广合科技,4.0
2026-01-19/3,星宸科技,4.0
2026-01-19/3,兆易创新,3.0
2026-01-19/3,永鼎股份,3.0
2026-01-19/3,潍柴动力,3.0
2026-01-19/3,中国商飞,3.0
2026-01-19/3,源杰科技,3.0
2026-01-19/3,富士康,2.0
2026-01-19/3,英业达,2.0
2026-01-19/3,长江通信,2.0
2026-01-19/3,江淮汽车,2.0
2026-01-19/3,澜起科技,2.0
2026-01-19/3,国联民生,2.0
2026-01-19/3,中芯国际,2.0
2026-01-19/3,华虹公司,2.0
2026-01-19/3,寒武纪,2.0
2026-01-19/3,仕佳光子,2.0
2026-01-19/3,长光华芯,2.0
2026-01-19/3,海光信息,2.0
2026-01-19/3,福斯特,2.0
2026-01-19/3,钧达股份,2.0
2026-01-19/3,海优新材,2.0
2026-01-19/3,航发动力,2.0
2026-01-19/3,贵州茅台,2.0
2026-01-19/3,航发科技,2.0
2026-01-19/3,Applovin,2.0
2026-01-19/3,Unity,2.0
2026-01-19/3,兖煤澳大利亚,2.0
2026-01-19/3,航亚科技,1.5
2026-01-19/3,洪都航空,1.5
2026-01-19/3,西麦食品,1.3
2026-01-19/3,奥比中光,1.0
2026-01-19/3,长电科技,1.0
2026-01-19/3,中海油服,1.0
2026-01-19/3,滨江集团,1.0
2026-01-19/3,金晶科技,1.0
2026-01-19/3,东方有色,1.0
2026-01-19/3,凯文教育,1.0
2026-01-19/3,新化股份,1.0
2026-01-19/3,邦彦技术,1.0
2026-01-19/3,海底捞,1.0
2026-01-19/3,派克新材,1.0
2026-01-19/3,联测科技,1.0
2026-01-19/3,万泽股份,1.0
2026-01-19/3,图南股份,1.0
2026-01-19/3,常宝股份,1.0
2026-01-19/3,航发控制,1.0
2026-01-19/3,兴森科技,1.0
2026-01-19/3,深南电路,1.0
2026-01-19/3,西子洁能,1.0
2026-01-19/3,博盈特焊,1.0
2026-01-19/3,东方电气,1.0
2026-01-19/3,杰瑞股份,1.0
2026-01-19/3,鹰普精密,1.0
2026-01-19/3,斯莱克,1.0
2026-01-19/3,德力佳,1.0
2026-01-19/3,应流股份,1.0
2026-01-19/3,迪威尔,1.0
2026-01-19/3,联德股份,1.0
2026-01-19/3,航宇科技,1.0
2026-01-19/3,隆达股份,1.0
2026-01-19/3,威唐工业,1.0
2026-01-19/3,新坐标,1.0
2026-01-19/3,铁流股份,1.0
2026-01-19/3,弘元绿能,1.0
2026-01-19/3,越秀资本,1.0
2026-01-19/3,健帆生物,1.0
2026-01-19/3,天孚通信,1.0
2026-01-19/3,中际旭创,1.0
2026-01-19/3,中国西电,1.0
2026-01-19/3,思源电气,1.0
2026-01-19/3,华明装备,1.0
2026-01-19/3,罗博特科,1.0
2026-01-19/3,致尚科技,1.0
2026-01-19/3,九丰能源,1.0
2026-01-19/3,恒烁股份,1.0
2026-01-19/3,蜀道装备,1.0
2026-01-19/3,C919,1.0
2026-01-19/3,国金化工,1.0
2026-01-19/3,博雷顿,1.0
2026-01-19/3,天虹国际集团,1.0
2026-01-19/3,腾讯控股,1.0
2026-01-19/3,南网科技,1.0
2026-01-19/3,平高电气,1.0
2026-01-19/3,九毛九,1.0
2026-01-19/3,许继电气,1.0
2026-01-19/3,中国铝业,1.0
2026-01-19/3,宁德时代,1.0
2026-01-19/3,通富微电,1.0
2026-01-19/3,国电南瑞,1.0
2026-01-19/3,甬矽电子,1.0
2026-01-19/3,华天科技,1.0
2026-01-19/3,深科技,1.0
2026-01-19/3,亚虹医药,1.0
2026-01-19/3,晶泰控股,1.0
2026-01-19/3,吉宏股份,1.0
2026-01-19/3,江苏银行,1.0
2026-01-19/3,芳源股份,1.0
2026-01-19/3,国联民生汽车,1.0
2026-01-19/3,巨人网络,1.0
2026-01-19/3,航天宏图,1.0
2026-01-19/3,中国航发,1.0
2026-01-19/3,特斯拉,1.0
2026-01-19/3,英伟达,1.0
2026-01-19/3,太平洋,1.0
2026-01-19/3,博通,1.0
2026-01-19/3,长江证券,1.0
2026-01-19/3,丽尚国潮,1.0
2026-01-19/3,天风证券,1.0
2026-01-19/3,中航沈飞,1.0
2026-01-19/3,博汇纸业,1.0
2026-01-19/3,中国巨石,1.0
2026-01-19/3,中航飞机,1.0
2026-01-19/3,东方化工,1.0
2026-01-19/3,毛戈平,1.0
2026-01-19/3,格林美,1.0
2026-01-19/3,京沪高铁,1.0
2026-01-19/3,中航电子,1.0
2026-01-19/3,中航机电,1.0
2026-01-19/3,上美股份,1.0
2026-01-19/3,三七互娱,1.0
2026-01-19/3,同道猎聘,1.0
2026-01-19/3,医脉通,1.0
2026-01-19/3,航天电子,1.0
2026-01-19/3,浙江东方,1.0
2026-01-19/3,恒安国际,1.0
2026-01-19/3,科大讯飞,1.0
2026-01-19/3,兖州煤业,1.0
2026-01-19/3,华勤技术,1.0
2026-01-19/3,优然牧业,1.0
2026-01-19/3,中国太保,1.0
2026-01-19/3,华兴资本,1.0
2026-01-19/3,国信互联网,1.0
2026-01-19/3,天工国际,1.0
2026-01-19/3,国泰海通电子,1.0
2026-01-19/3,中泰食品饮料,1.0
2026-01-19/3,小菜园,1.0
2026-01-19/3,中伟股份,1.0
2026-01-19/3,招商证券,1.0
2026-01-19/3,国联民生医药,1.0
2026-01-19/3,海天瑞声,1.0
2026-01-19/3,华友钴业,1.0
