时间,个股,得分
2026-01-19/1,芯碁微装,6.0
2026-01-19/1,长电科技,4.0
2026-01-19/1,通富微电,4.0
2026-01-19/1,甬矽电子,4.0
2026-01-19/1,深科技,3.0
2026-01-19/1,富创精密,3.0
2026-01-19/1,胜宏科技,3.0
2026-01-19/1,微导纳米,3.0
2026-01-19/1,金山办公,2.0
2026-01-19/1,福昕软件,2.0
2026-01-19/1,华峰测控,2.0
2026-01-19/1,天承科技,2.0
2026-01-19/1,华海诚科,2.0
2026-01-19/1,税友股份,2.0
2026-01-19/1,汉得信息,2.0
2026-01-19/1,鼎捷数智,2.0
2026-01-19/1,兆驰股份,2.0
2026-01-19/1,科大讯飞,2.0
2026-01-19/1,万兴科技,2.0
2026-01-19/1,深信服,2.0
2026-01-19/1,金蝶国际,2.0
2026-01-19/1,长川科技,2.0
2026-01-19/1,精测电子,2.0
2026-01-19/1,大族数控,2.0
2026-01-19/1,冰轮环境,2.0
2026-01-19/1,应流股份,2.0
2026-01-19/1,金海通,2.0
2026-01-19/1,安集科技,2.0
2026-01-19/1,鼎龙股份,2.0
2026-01-19/1,彤程新材,2.0
2026-01-19/1,海光信息,1.3
2026-01-19/1,寒武纪,1.0
2026-01-19/1,康耐特光学,1.0
2026-01-19/1,德明利,1.0
2026-01-19/1,香农芯创,1.0
2026-01-19/1,开普云,1.0
2026-01-19/1,华正新材,1.0
2026-01-19/1,江顺科技,1.0
2026-01-19/1,雅克科技,1.0
2026-01-19/1,国科微,1.0
2026-01-19/1,华源控股,1.0
2026-01-19/1,飞龙股份,1.0
2026-01-19/1,江南新材,1.0
2026-01-19/1,东材科技,1.0
2026-01-19/1,宏和科技,1.0
2026-01-19/1,光云科技,1.0
2026-01-19/1,呈和科技,1.0
2026-01-19/1,泛亚微透,1.0
2026-01-19/1,阿里巴巴,1.0
2026-01-19/1,真爱美家,1.0
2026-01-19/1,合合信息,1.0
2026-01-19/1,斯菱智驱,1.0
2026-01-19/1,精工科技,1.0
2026-01-19/1,人民网,1.0
2026-01-19/1,利扬芯片,1.0
2026-01-19/1,华天科技,1.0
2026-01-19/1,伟测科技,1.0
2026-01-19/1,佰维存储,1.0
2026-01-19/1,汇成股份,1.0
2026-01-19/1,远东股份,1.0
2026-01-19/1,智动力,1.0
2026-01-19/1,华光新材,1.0
2026-01-19/1,溯联股份,1.0
2026-01-19/1,德福科技,1.0
2026-01-19/1,菲利华,1.0
2026-01-19/1,巨人网络,1.0
2026-01-19/1,三七互娱,1.0
2026-01-19/1,新华网,1.0
2026-01-19/1,浙数文化,1.0
2026-01-19/1,博敏电子,1.0
