时间,个股,得分
2026-01-08/3,兆易创新,2.0
2026-01-08/3,航天动力,2.0
2026-01-08/3,晶科能源,2.0
2026-01-08/3,迈为股份,2.0
2026-01-08/3,上海港湾,2.0
2026-01-08/3,中国卫星,2.0
2026-01-08/3,天银机电,2.0
2026-01-08/3,泰胜风能,2.0
2026-01-08/3,电科数字,1.0
2026-01-08/3,北京君正,1.0
2026-01-08/3,东芯股份,1.0
2026-01-08/3,恒烁股份,1.0
2026-01-08/3,聚辰股份,1.0
2026-01-08/3,东方日升,1.0
2026-01-08/3,江波龙,1.0
2026-01-08/3,普冉股份,1.0
2026-01-08/3,凯盛科技,1.0
2026-01-08/3,蔚蓝锂芯,1.0
2026-01-08/3,钧达股份,1.0
2026-01-08/3,优优绿能,1.0
2026-01-08/3,电科蓝天,1.0
2026-01-08/3,宇晶股份,1.0
2026-01-08/3,普天科技,1.0
2026-01-08/3,银邦股份,1.0
2026-01-08/3,西部材料,1.0
2026-01-08/3,顺灏股份,1.0
2026-01-08/3,飞沃科技,1.0
2026-01-08/3,蓝思科技,1.0
2026-01-08/3,华曙高科,1.0
2026-01-08/3,菲利华,1.0
2026-01-08/3,上海瀚讯,1.0
2026-01-08/3,海优新材,1.0
2026-01-08/3,牧原股份,1.0
2026-01-08/3,航天环宇,1.0
2026-01-08/3,信科移动,1.0
2026-01-08/3,臻镭科技,1.0
2026-01-08/3,国博电子,1.0
2026-01-08/3,国瓷材料,1.0
2026-01-08/3,航天智装,1.0
2026-01-08/3,航天电子,1.0
2026-01-08/3,ST铖昌,1.0
2026-01-08/3,佳缘科技,1.0
2026-01-08/3,陕西华达,1.0
2026-01-08/3,乾照光电,1.0
2026-01-08/3,思科瑞,1.0
2026-01-08/3,航宇微,1.0
2026-01-08/3,新雷能,1.0
2026-01-08/3,华泰,1.0
2026-01-08/3,动联科,1.0
2026-01-08/3,菜特光电,1.0
2026-01-08/3,瑞联新材,1.0
2026-01-08/3,上海沪工,1.0
2026-01-08/3,超捷股份,1.0
2026-01-08/3,铂力特,1.0
2026-01-08/3,高华科技,1.0
2026-01-08/3,斯瑞新材,1.0
2026-01-08/3,华菱线,1.0
2026-01-08/3,震有科技,1.0
2026-01-08/3,海格通信,1.0
2026-01-08/3,中科星图,1.0
2026-01-08/3,盟升电子,1.0
2026-01-08/3,信维通信,1.0
2026-01-08/3,通宇通讯,1.0
2026-01-08/3,华力创通,1.0
2026-01-08/3,万润股份,1.0
2026-01-08/3,盛路通信,1.0
2026-01-08/3,星图测控,1.0
2026-01-08/3,中国卫通,1.0
2026-01-08/3,特发信息,1.0
2026-01-08/3,先导智能,1.0
2026-01-08/3,宏工科技,1.0
2026-01-08/3,纳科科技,1.0
2026-01-08/3,海目星,1.0
2026-01-08/3,灵鸽科技,1.0
2026-01-08/3,曼恩斯特,1.0
2026-01-08/3,利元亨,1.0
2026-01-08/3,利通科技,1.0
2026-01-08/3,华自科技,1.0
2026-01-08/3,荣旗科技,1.0
2026-01-08/3,科新机电,1.0
2026-01-08/3,华亚智能,1.0
2026-01-08/3,联赢激光,1.0
2026-01-08/3,微导纳米,1.0
2026-01-08/3,松井股份,1.0
2026-01-08/3,德龙激光,1.0
2026-01-08/3,中国石化,1.0
2026-01-08/3,卓易信息,1.0
2026-01-08/3,引力传媒,1.0
2026-01-08/3,德新科技,1.0
2026-01-08/3,浙文互联,1.0
2026-01-08/3,蓝色光标,1.0
2026-01-08/3,易点天下,1.0
2026-01-08/3,因赛集团,1.0
2026-01-08/3,博瑞传播,1.0
2026-01-08/3,值得买,1.0
2026-01-08/3,三安光电,1.0
2026-01-08/3,长江计算机,0.5
