时间,个股,得分
2026-01-22/1,海光信息,3.0
2026-01-22/1,菲利华,2.0
2026-01-22/1,禾盛新材,2.0
2026-01-22/1,寒武纪,2.0
2026-01-22/1,宏和科技,2.0
2026-01-22/1,德明利,1.0
2026-01-22/1,隆基股份,1.0
2026-01-22/1,香农芯创,1.0
2026-01-22/1,华源控股,1.0
2026-01-22/1,帝科股份,1.0
2026-01-22/1,中科曙光,1.0
2026-01-22/1,开普云,1.0
2026-01-22/1,华正新材,1.0
2026-01-22/1,呈和科技,1.0
2026-01-22/1,德福科技,1.0
2026-01-22/1,飞龙股份,1.0
2026-01-22/1,阿里巴巴,1.0
2026-01-22/1,真爱美家,1.0
2026-01-22/1,合合信息,1.0
2026-01-22/1,中控技术,1.0
2026-01-22/1,美年健康,1.0
2026-01-22/1,龙芯中科,1.0
2026-01-22/1,中国长城,1.0
2026-01-22/1,兴森科技,1.0
2026-01-22/1,深南电路,1.0
2026-01-22/1,伟创电气,1.0
2026-01-22/1,芯碁微装,1.0
2026-01-22/1,洪都航空,1.0
