时间,个股,得分
2026-01-14/2,迈为股份,7.0
2026-01-14/2,飞沃科技,5.0
2026-01-14/2,思源电气,5.0
2026-01-14/2,伊戈尔,5.0
2026-01-14/2,神马电力,5.0
2026-01-14/2,金盘科技,5.0
2026-01-14/2,超捷股份,5.0
2026-01-14/2,华明装备,4.0
2026-01-14/2,特变电工,4.0
2026-01-14/2,航天动力,3.0
2026-01-14/2,深科技,3.0
2026-01-14/2,甬矽电子,3.0
2026-01-14/2,利扬芯片,3.0
2026-01-14/2,合合信息,3.0
2026-01-14/2,长川科技,3.0
2026-01-14/2,矽电股份,3.0
2026-01-14/2,宁德时代,3.0
2026-01-14/2,佰维存储,3.0
2026-01-14/2,芯原股份,3.0
2026-01-14/2,钧达股份,3.0
2026-01-14/2,信维通信,3.0
2026-01-14/2,西部材料,3.0
2026-01-14/2,海优新材,3.0
2026-01-14/2,国瓷材料,3.0
2026-01-14/2,三环集团,3.0
2026-01-14/2,中控技术,2.6
2026-01-14/2,上海港湾,2.0
2026-01-14/2,美年健康,2.0
2026-01-14/2,首都在线,2.0
2026-01-14/2,三星医疗,2.0
2026-01-14/2,奥特维,2.0
2026-01-14/2,香农芯创,2.0
2026-01-14/2,新开普,2.0
2026-01-14/2,江顺科技,2.0
2026-01-14/2,雅克科技,2.0
2026-01-14/2,呈和科技,2.0
2026-01-14/2,臻雷科技,2.0
2026-01-14/2,西测测试,2.0
2026-01-14/2,德明利,2.0
2026-01-14/2,麦迪科技,2.0
2026-01-14/2,斯瑞新材,2.0
2026-01-14/2,中钢洛耐,2.0
2026-01-14/2,伟测科技,2.0
2026-01-14/2,火炬电子,2.0
2026-01-14/2,铂力特,2.0
2026-01-14/2,安靠智电,2.0
2026-01-14/2,明阳电气,2.0
2026-01-14/2,富临精工,2.0
2026-01-14/2,广信材料,2.0
2026-01-14/2,微盟集团,2.0
2026-01-14/2,昆仑万维,2.0
2026-01-14/2,真爱美家,2.0
2026-01-14/2,容百科技,2.0
2026-01-14/2,华峰测控,2.0
2026-01-14/2,杰瑞股份,2.0
2026-01-14/2,金杯电工,2.0
2026-01-14/2,通富微电,2.0
2026-01-14/2,开普云,2.0
2026-01-14/2,博盈特焊,2.0
2026-01-14/2,和林微纳,2.0
2026-01-14/2,恒为科技,2.0
2026-01-14/2,AIDC液冷,2.0
2026-01-14/2,中一科技,2.0
2026-01-14/2,海亮股份,2.0
2026-01-14/2,东方日升,2.0
2026-01-14/2,虹软科技,2.0
2026-01-14/2,四方股份,2.0
2026-01-14/2,联德股份,2.0
2026-01-14/2,振华股份,2.0
2026-01-14/2,晶晨股份,2.0
2026-01-14/2,中国西电,2.0
2026-01-14/2,厦钨新能,2.0
2026-01-14/2,上海洗霸,2.0
2026-01-14/2,潍柴动力,2.0
2026-01-14/2,臻镭科技,2.0
2026-01-14/2,华秦科技,2.0
2026-01-14/2,中国卫星,1.3
2026-01-14/2,华曙高科,1.0
2026-01-14/2,深蓝航天,1.0
2026-01-14/2,华丰科技,1.0
2026-01-14/2,航天电子,1.0
2026-01-14/2,天兵科技,1.0
2026-01-14/2,中科宇航,1.0
2026-01-14/2,大族数控,1.0
2026-01-14/2,蓝箭航天,1.0
2026-01-14/2,星河动力,1.0
2026-01-14/2,星际荣耀,1.0
2026-01-14/2,上海瀚讯,1.0
2026-01-14/2,东方空间,1.0
2026-01-14/2,艾罗能源,1.0
2026-01-14/2,聚和材料,1.0
2026-01-14/2,中孚实业,1.0
2026-01-14/2,云铝股份,1.0
2026-01-14/2,天银机电,1.0
2026-01-14/2,邵阳液压,1.0
2026-01-14/2,乾照光电,1.0
2026-01-14/2,国博电子,1.0
2026-01-14/2,AI相关标的,1.0
2026-01-14/2,广信科技,1.0
2026-01-14/2,盛洋科技,1.0
2026-01-14/2,信科移动,1.0
2026-01-14/2,圣农发展,1.0
2026-01-14/2,心动公司,1.0
2026-01-14/2,长电科技,1.0
2026-01-14/2,金海通,1.0
2026-01-14/2,泰顺风能,1.0
2026-01-14/2,广联航空,1.0
2026-01-14/2,汇量科技,1.0
2026-01-14/2,欢瑞世纪,1.0
2026-01-14/2,药明康德,1.0
2026-01-14/2,康弘,1.0
2026-01-14/2,恒瑞,1.0
2026-01-14/2,易点天下,1.0
2026-01-14/2,信达生物,1.0
2026-01-14/2,神火股份,1.0
2026-01-14/2,宏创控股,1.0
2026-01-14/2,天山铝业,1.0
2026-01-14/2,中国铝业,1.0
2026-01-14/2,南山铝业,1.0
2026-01-14/2,创新实业,1.0
2026-01-14/2,中国宏桥,1.0
2026-01-14/2,京山轻机,1.0
2026-01-14/2,艾可蓝,1.0
2026-01-14/2,罗氏,1.0
2026-01-14/2,统联精密,1.0
2026-01-14/2,辉瑞,1.0
2026-01-14/2,诺华,1.0
2026-01-14/2,BMS,1.0
2026-01-14/2,吉利德,1.0
2026-01-14/2,益丰,1.0
2026-01-14/2,海博思创,1.0
2026-01-14/2,阿特斯,1.0
2026-01-14/2,金蝶国际,1.0
2026-01-14/2,卓易信息,1.0
2026-01-14/2,鼎捷数智,1.0
2026-01-14/2,用友网络,1.0
2026-01-14/2,阳光电源,1.0
2026-01-14/2,航天工程,1.0
2026-01-14/2,汉得信息,1.0
2026-01-14/2,寒武纪,1.0
2026-01-14/2,龙旗科技,1.0
2026-01-14/2,北方华创,1.0
2026-01-14/2,中微公司,1.0
2026-01-14/2,明阳智能,1.0
2026-01-14/2,华通线缆,1.0
2026-01-14/2,华峰铝业,1.0
2026-01-14/2,明泰铝业,1.0
2026-01-14/2,华通,1.0
2026-01-14/2,巨人,1.0
2026-01-14/2,恺英,1.0
2026-01-14/2,完美,1.0
2026-01-14/2,三七,1.0
2026-01-14/2,快手,1.0
2026-01-14/2,云变电气,1.0
2026-01-14/2,安孚科技,1.0
2026-01-14/2,天力复合,1.0
2026-01-14/2,顺灏股份,1.0
2026-01-14/2,兆驰股份,1.0
2026-01-14/2,双良节能,1.0
2026-01-14/2,帝尔激光,1.0
2026-01-14/2,银邦股份,1.0
2026-01-14/2,捷佳伟创,1.0
2026-01-14/2,星宸科技,1.0
2026-01-14/2,高华科技,1.0
2026-01-14/2,中科星图,1.0
2026-01-14/2,派克新材,1.0
2026-01-14/2,星图测控,1.0
2026-01-14/2,宝钛股份,1.0
2026-01-14/2,普天科技,1.0
2026-01-14/2,宏工科技,1.0
2026-01-14/2,炬芯科技,1.0
2026-01-14/2,乐鑫科技,1.0
2026-01-14/2,全志科技,1.0
2026-01-14/2,瑞芯微,1.0
2026-01-14/2,恒玄科技,1.0
2026-01-14/2,泰凌微,1.0
2026-01-14/2,中科蓝讯,1.0
2026-01-14/2,富瀚微,1.0
2026-01-14/2,灵鸽科技,1.0
2026-01-14/2,利通科技,1.0
2026-01-14/2,纳科诺尔,1.0
2026-01-14/2,联赢激光,1.0
2026-01-14/2,先惠技术,1.0
2026-01-14/2,先导智能,1.0
2026-01-14/2,东方电气,1.0
2026-01-14/2,平高电气,1.0
2026-01-14/2,小商品城,1.0
2026-01-14/2,大金重工,1.0
2026-01-14/2,东方电缆,1.0
2026-01-14/2,光云科技,1.0
2026-01-14/2,石基信息,1.0
2026-01-14/2,捷顺科技,1.0
2026-01-14/2,新大陆,1.0
2026-01-14/2,卫宁健康,1.0
2026-01-14/2,阿里健康,1.0
2026-01-14/2,数据港,1.0
2026-01-14/2,新泉股份,1.0
2026-01-14/2,春晖智控,1.0
2026-01-14/2,新雷能,1.0
2026-01-14/2,帝科股份,1.0
2026-01-14/2,凯迪股份,1.0
2026-01-14/2,白云电器,1.0
2026-01-14/2,三变科技,1.0
2026-01-14/2,信捷电气,1.0
2026-01-14/2,东微半导,1.0
2026-01-14/2,卓兆点胶,1.0
2026-01-14/2,豪鹏科技,1.0
2026-01-14/2,青木科技,1.0
2026-01-14/2,岱美股份,1.0
2026-01-14/2,保变电气,1.0
2026-01-14/2,特锐德,1.0
2026-01-14/2,中国动力,0.6
2026-01-14/2,海光信息,0.6
2026-01-14/2,长缆科技,0.5
2026-01-14/2,航天科技,0.3
2026-01-14/2,航天电器,0.3
2026-01-14/2,中科曙光,0.3
