时间,个股,得分
2026-01-09/t,万泽股份,3.0
2026-01-09/t,航天电子,3.0
2026-01-09/t,复旦微电,3.0
2026-01-09/t,信科移动,2.0
2026-01-09/t,国博电子,2.0
2026-01-09/t,应流股份,2.0
2026-01-09/t,臻镭科技,2.0
2026-01-09/t,锐科激光,2.0
2026-01-09/t,易点天下,2.0
2026-01-09/t,蓝色光标,2.0
2026-01-09/t,和林微纳,2.0
2026-01-09/t,壹石通,2.0
2026-01-09/t,雄韬股份,2.0
2026-01-09/t,潍柴动力,2.0
2026-01-09/t,振华股份,2.0
2026-01-09/t,铂力特,2.0
2026-01-09/t,东方电气,2.0
2026-01-09/t,杰瑞股份,2.0
2026-01-09/t,超捷股份,2.0
2026-01-09/t,京泉华,2.0
2026-01-09/t,三环集团,2.0
2026-01-09/t,芯原股份,2.0
2026-01-09/t,首都在线,2.0
2026-01-09/t,长川科技,2.0
2026-01-09/t,华海诚科,2.0
2026-01-09/t,迈为股份,2.0
2026-01-09/t,汇成股份,2.0
2026-01-09/t,蓝思科技,2.0
2026-01-09/t,优刻得,2.0
2026-01-09/t,值得买,2.0
2026-01-09/t,中科金财,2.0
2026-01-09/t,航发动力,2.0
2026-01-09/t,视觉中国,2.0
2026-01-09/t,高华科技,1.0
2026-01-09/t,斯瑞新材,1.0
2026-01-09/t,震有科技,1.0
2026-01-09/t,浙文互联,1.0
2026-01-09/t,富创精密,1.0
2026-01-09/t,天娱数科,1.0
2026-01-09/t,强一股份,1.0
2026-01-09/t,中微公司,1.0
2026-01-09/t,拓荆科技,1.0
2026-01-09/t,引力传媒,1.0
2026-01-09/t,阿特斯,1.0
2026-01-09/t,飞沃科技,1.0
2026-01-09/t,爱司凯,1.0
2026-01-09/t,江顺科技,1.0
2026-01-09/t,博盈特焊,1.0
2026-01-09/t,家联科技,1.0
2026-01-09/t,海格通信,1.0
2026-01-09/t,华曙高科,1.0
2026-01-09/t,航天工程,1.0
2026-01-09/t,中国卫星,1.0
2026-01-09/t,中科信息,1.0
2026-01-09/t,航天动力,1.0
2026-01-09/t,甬矽电子,1.0
2026-01-09/t,联瑞新材,1.0
2026-01-09/t,华峰测控,1.0
2026-01-09/t,芯源微,1.0
2026-01-09/t,恒立液压,1.0
2026-01-09/t,柳工,1.0
2026-01-09/t,中联重科,1.0
2026-01-09/t,徐工机械,1.0
2026-01-09/t,海光信息,1.0
2026-01-09/t,山推股份,1.0
2026-01-09/t,同力股份,1.0
2026-01-09/t,耐普矿机,1.0
2026-01-09/t,宇晶股份,1.0
2026-01-09/t,凯盛科技,1.0
2026-01-09/t,佛燃能源,1.0
2026-01-09/t,深科技,1.0
2026-01-09/t,青云科技,1.0
2026-01-09/t,通富微电,1.0
2026-01-09/t,ASMPT,1.0
2026-01-09/t,三一重工,1.0
2026-01-09/t,金现代,1.0
2026-01-09/t,博彦科技,1.0
2026-01-09/t,并行科技,1.0
2026-01-09/t,凌云光,1.0
2026-01-09/t,华信永道,1.0
2026-01-09/t,电广传媒,1.0
2026-01-09/t,华策影视,1.0
2026-01-09/t,三七互娱,1.0
2026-01-09/t,豆神教育,1.0
2026-01-09/t,数字政通,1.0
2026-01-09/t,德生科技,1.0
2026-01-09/t,思美传媒,1.0
2026-01-09/t,洲明科技,1.0
2026-01-09/t,拓斯达,1.0
2026-01-09/t,阿尔特,1.0
2026-01-09/t,平治信息,1.0
2026-01-09/t,上海瀚讯,1.0
2026-01-09/t,南凌科技,1.0
2026-01-09/t,赛意信息,1.0
2026-01-09/t,北信源,1.0
2026-01-09/t,法本信息,1.0
2026-01-09/t,上海港湾,1.0
2026-01-09/t,烽火通信,1.0
2026-01-09/t,钧达股份,1.0
2026-01-09/t,航天智装,1.0
2026-01-09/t,光威复材,1.0
2026-01-09/t,银邦股份,1.0
2026-01-09/t,紫光国微,1.0
2026-01-09/t,通宇通讯,1.0
2026-01-09/t,信维通信,1.0
2026-01-09/t,顺灏股份,1.0
2026-01-09/t,长电科技,1.0
2026-01-09/t,智明达,1.0
2026-01-09/t,乾照光电,1.0
2026-01-09/t,火炬电子,1.0
2026-01-09/t,华秦科技,1.0
2026-01-09/t,上海新阳,1.0
2026-01-09/t,艾森股份,1.0
2026-01-09/t,鼎龙股份,1.0
2026-01-09/t,中钢洛耐,1.0
2026-01-09/t,壹网壹创,1.0
2026-01-09/t,寒武纪,1.0
2026-01-09/t,华懋科技,1.0
2026-01-09/t,摩尔线程,1.0
2026-01-09/t,润泽科技,1.0
2026-01-09/t,奥飞数据,1.0
2026-01-09/t,东阳光,1.0
2026-01-09/t,西菱动力,1.0
2026-01-09/t,大位科技,1.0
2026-01-09/t,光环新网,1.0
2026-01-09/t,龙达股份,1.0
2026-01-09/t,科华数据,1.0
2026-01-09/t,联德股份,1.0
2026-01-09/t,国电南瑞,1.0
2026-01-09/t,安泰科技,1.0
2026-01-09/t,旭光电子,1.0
2026-01-09/t,王子新材,1.0
