时间,个股,得分
2026-01-27/3,深信服,1.0
2026-01-27/3,百度,1.0
2026-01-27/3,合合信息,1.0
2026-01-27/3,卓易信息,1.0
2026-01-27/3,厦钨新能,1.0
2026-01-27/3,飞沃科技,1.0
2026-01-27/3,上海瀚讯,1.0
2026-01-27/3,铂力特,1.0
2026-01-27/3,超捷股份,1.0
2026-01-27/3,德恩精工,1.0
2026-01-27/3,瑞华泰,1.0
2026-01-27/3,泽润新能,1.0
2026-01-27/3,邵阳液压,1.0
2026-01-27/3,连城数控,1.0
2026-01-27/3,博迁新材,1.0
2026-01-27/3,乐鑫科技,1.0
2026-01-27/3,国科微,1.0
2026-01-27/3,国民技术,1.0
2026-01-27/3,芯海科技,1.0
2026-01-27/3,复旦微电,1.0
2026-01-27/3,通富微电,1.0
2026-01-27/3,中科曙光,1.0
2026-01-27/3,立昂微,1.0
2026-01-27/3,洁美科技,1.0
2026-01-27/3,君实生物,1.0
2026-01-27/3,致尚科技,1.0
2026-01-27/3,天孚通信,1.0
2026-01-27/3,罗博特科,1.0
2026-01-27/3,炬光科技,1.0
2026-01-27/3,太辰光,1.0
2026-01-27/3,中电港,1.0
2026-01-27/3,深圳华强,1.0
2026-01-27/3,烽火通信,1.0
2026-01-27/3,航天电子,1.0
2026-01-27/3,电科芯片,1.0
2026-01-27/3,中国卫星,1.0
2026-01-27/3,沪电股份,1.0
2026-01-27/3,香农芯创,1.0
2026-01-27/3,禾盛新材,1.0
2026-01-27/3,龙芯中科,1.0
2026-01-27/3,华大九天,1.0
2026-01-27/3,华正新材,1.0
2026-01-27/3,呈和科技,1.0
2026-01-27/3,宏和科技,1.0
2026-01-27/3,延江股份,1.0
2026-01-27/3,雅克科技,1.0
2026-01-27/3,浪潮信息,1.0
2026-01-27/3,紫光股份,1.0
2026-01-27/3,青云科技,1.0
2026-01-27/3,华源控股,1.0
2026-01-27/3,开普云,1.0
2026-01-27/3,新澳股份,0.5
2026-01-27/3,牧原股份,0.3
