时间,个股,得分
2026-01-19/t,迈为股份,10.0
2026-01-19/t,潍柴动力,9.3
2026-01-19/t,三花智控,8.0
2026-01-19/t,大族数控,8.0
2026-01-19/t,杰瑞股份,7.0
2026-01-19/t,大族激光,7.0
2026-01-19/t,钧达股份,7.0
2026-01-19/t,北方华创,7.0
2026-01-19/t,斯莱克,7.0
2026-01-19/t,联赢激光,7.0
2026-01-19/t,长电科技,7.0
2026-01-19/t,鹏鼎控股,6.0
2026-01-19/t,英诺激光,6.0
2026-01-19/t,奥特维,6.0
2026-01-19/t,胜宏科技,6.0
2026-01-19/t,世运电路,6.0
2026-01-19/t,芯碁微装,6.0
2026-01-19/t,品盛机电,6.0
2026-01-19/t,顺络电子,6.0
2026-01-19/t,东方日升,6.0
2026-01-19/t,海光信息,5.3
2026-01-19/t,浙江荣泰,5.0
2026-01-19/t,通富微电,5.0
2026-01-19/t,高测股份,5.0
2026-01-19/t,拓普集团,5.0
2026-01-19/t,先导智能,5.0
2026-01-19/t,甬矽电子,5.0
2026-01-19/t,先惠技术,5.0
2026-01-19/t,精智达,5.0
2026-01-19/t,永鼎股份,5.0
2026-01-19/t,帝尔激光,5.0
2026-01-19/t,普冉股份,5.0
2026-01-19/t,科大讯飞,4.0
2026-01-19/t,旭光电子,4.0
2026-01-19/t,科士达,4.0
2026-01-19/t,北特科技,4.0
2026-01-19/t,星宸科技,4.0
2026-01-19/t,路维光电,4.0
2026-01-19/t,恒立液压,4.0
2026-01-19/t,迅捷兴,4.0
2026-01-19/t,道通科技,4.0
2026-01-19/t,广合科技,4.0
2026-01-19/t,兆易创新,4.0
2026-01-19/t,精测电子,4.0
2026-01-19/t,洲明科技,4.0
2026-01-19/t,智立方,4.0
2026-01-19/t,绿的谐波,4.0
2026-01-19/t,六福集团,4.0
2026-01-19/t,万泽股份,4.0
2026-01-19/t,联德股份,4.0
2026-01-19/t,深科技,4.0
2026-01-19/t,天承科技,4.0
2026-01-19/t,华峰测控,4.0
2026-01-19/t,巨人网络,4.0
2026-01-19/t,宗申动力,4.0
2026-01-19/t,中集环科,4.0
2026-01-19/t,上海港湾,4.0
2026-01-19/t,科达利,4.0
2026-01-19/t,华工科技,4.0
2026-01-19/t,国光电气,4.0
2026-01-19/t,航亚科技,3.5
2026-01-19/t,澜起科技,3.0
2026-01-19/t,合合信息,3.0
2026-01-19/t,东材科技,3.0
2026-01-19/t,图南股份,3.0
2026-01-19/t,金山办公,3.0
2026-01-19/t,鼎泰高科,3.0
2026-01-19/t,明阳智能,3.0
2026-01-19/t,均胜电子,3.0
2026-01-19/t,伟创电气,3.0
2026-01-19/t,海优新材,3.0
2026-01-19/t,聚和材料,3.0
2026-01-19/t,派克新材,3.0
2026-01-19/t,铁流股份,3.0
2026-01-19/t,利扬芯片,3.0
2026-01-19/t,长江证券,3.0
2026-01-19/t,伟测科技,3.0
2026-01-19/t,航发科技,3.0
2026-01-19/t,安培龙,3.0
2026-01-19/t,江顺科技,3.0
2026-01-19/t,华自科技,3.0
2026-01-19/t,佰维存储,3.0
2026-01-19/t,微导纳米,3.0
2026-01-19/t,航天电子,3.0
