时间,个股,得分
2026-01-18/t,明阳智能,3.0
2026-01-18/t,高测股份,2.0
2026-01-18/t,钧达股份,2.0
2026-01-18/t,东方日升,2.0
2026-01-18/t,潍柴动力,2.0
2026-01-18/t,众鑫股份,2.0
2026-01-18/t,先惠技术,2.0
2026-01-18/t,奥特维,2.0
2026-01-18/t,振华股份,2.0
2026-01-18/t,海康威视,2.0
2026-01-18/t,雅迪控股,2.0
2026-01-18/t,浙江荣泰,2.0
2026-01-18/t,迈为股份,2.0
2026-01-18/t,先导智能,2.0
2026-01-18/t,德业股份,1.0
2026-01-18/t,中钨,1.0
2026-01-18/t,天赐材料,1.0
2026-01-18/t,多氟多,1.0
2026-01-18/t,天际股份,1.0
2026-01-18/t,富临精工,1.0
2026-01-18/t,德方纳米,1.0
2026-01-18/t,尚太科技,1.0
2026-01-18/t,璞泰来,1.0
2026-01-18/t,中科电气,1.0
2026-01-18/t,恩捷股份,1.0
2026-01-18/t,星源材质,1.0
2026-01-18/t,新风光,1.0
2026-01-18/t,佳鑫,1.0
2026-01-18/t,厦钨,1.0
2026-01-18/t,韵升,1.0
2026-01-18/t,章源,1.0
2026-01-18/t,艾罗能源,1.0
2026-01-18/t,阳光电源,1.0
2026-01-18/t,阿特斯,1.0
2026-01-18/t,海博思创,1.0
2026-01-18/t,天合光能,1.0
2026-01-18/t,通润装备,1.0
2026-01-18/t,亿纬锂能,1.0
2026-01-18/t,西典新能,1.0
2026-01-18/t,南网科技,1.0
2026-01-18/t,宁德时代,1.0
2026-01-18/t,鹏辉能源,1.0
2026-01-18/t,欣旺达,1.0
2026-01-18/t,中创新航,1.0
2026-01-18/t,国轩高科,1.0
2026-01-18/t,ST嘉澳,1.0
2026-01-18/t,福赛科技,1.0
2026-01-18/t,湖金,1.0
2026-01-18/t,斯菱股份,1.0
2026-01-18/t,华锡,1.0
2026-01-18/t,国城,1.0
2026-01-18/t,金钼,1.0
2026-01-18/t,华钰,1.0
2026-01-18/t,正海,1.0
2026-01-18/t,金力,1.0
2026-01-18/t,包钢,1.0
2026-01-18/t,中国稀土,1.0
2026-01-18/t,新金路,1.0
2026-01-18/t,倍杰特,1.0
2026-01-18/t,拓普集团,1.0
2026-01-18/t,恒立液压,1.0
2026-01-18/t,金山办公,1.0
2026-01-18/t,深信服,1.0
2026-01-18/t,福昕软件,1.0
2026-01-18/t,海天瑞声,1.0
2026-01-18/t,通富微电,1.0
2026-01-18/t,长电科技,1.0
2026-01-18/t,三花智控,1.0
2026-01-18/t,科森科技,1.0
2026-01-18/t,奥比中光,1.0
2026-01-18/t,领益智造,1.0
2026-01-18/t,新益昌,1.0
2026-01-18/t,蓝思科技,1.0
2026-01-18/t,大华股份,1.0
2026-01-18/t,合合信息,1.0
2026-01-18/t,泛亚微透,1.0
2026-01-18/t,新泉股份,1.0
2026-01-18/t,经纬恒润,1.0
2026-01-18/t,中集集团,1.0
2026-01-18/t,胜宏科技,1.0
2026-01-18/t,浩瀚深度,1.0
2026-01-18/t,华友钴业,1.0
2026-01-18/t,天奇股份,1.0
2026-01-18/t,格林美,1.0
2026-01-18/t,申洲国际,1.0
2026-01-18/t,聚和材料,1.0
2026-01-18/t,甬砂电子,1.0
2026-01-18/t,山高环能,1.0
2026-01-18/t,卓越新能,1.0
2026-01-18/t,动力,1.0
2026-01-18/t,双良节能,1.0
2026-01-18/t,钠科诺尔,1.0
2026-01-18/t,晶科能源,1.0
2026-01-18/t,金盘科技,1.0
2026-01-18/t,隆鑫通用,1.0
2026-01-18/t,大金重工,1.0
2026-01-18/t,东方电缆,1.0
2026-01-18/t,海力风电,1.0
2026-01-18/t,思源电气,1.0
2026-01-18/t,华明装备,1.0
2026-01-18/t,神马电力,1.0
2026-01-18/t,科达利,1.0
2026-01-18/t,伊戈尔,1.0
2026-01-18/t,伟创电气,1.0
2026-01-18/t,恒勃股份,1.0
2026-01-18/t,联赢激光,1.0
2026-01-18/t,纳科诺尔,1.0
2026-01-18/t,世运电路,1.0
2026-01-18/t,中力股份,0.0
