时间,个股,得分
2026-01-08/2,芯源微,5.0
2026-01-08/2,彤程新材,3.0
2026-01-08/2,长川科技,3.0
2026-01-08/2,北方华创,2.0
2026-01-08/2,南大光电,2.0
2026-01-08/2,江丰电子,2.0
2026-01-08/2,格林达,2.0
2026-01-08/2,鼎龙股份,2.0
2026-01-08/2,路维光电,2.0
2026-01-08/2,龙图光罩,2.0
2026-01-08/2,珂玛科技,2.0
2026-01-08/2,京仪装备,2.0
2026-01-08/2,豪能股份,2.0
2026-01-08/2,清溢光电,2.0
2026-01-08/2,电科芯片,2.0
2026-01-08/2,精智达,2.0
2026-01-08/2,华峰测控,2.0
2026-01-08/2,上海新阳,2.0
2026-01-08/2,中微公司,2.0
2026-01-08/2,中科曙光,1.3
2026-01-08/2,雅克科技,1.0
2026-01-08/2,通富微电,1.0
2026-01-08/2,精测电子,1.0
2026-01-08/2,爱司凯,1.0
2026-01-08/2,泰晶科技,1.0
2026-01-08/2,园林股份,1.0
2026-01-08/2,恒坤新材,1.0
2026-01-08/2,盈方微,1.0
2026-01-08/2,普冉股份,1.0
2026-01-08/2,芯原股份,1.0
2026-01-08/2,聚和材料,1.0
2026-01-08/2,金宏气体,1.0
2026-01-08/2,华虹半导体,1.0
2026-01-08/2,寒武纪,1.0
2026-01-08/2,浪潮信息,1.0
2026-01-08/2,长电科技,1.0
2026-01-08/2,三利谱,1.0
2026-01-08/2,钧达股份,1.0
2026-01-08/2,中航西飞,1.0
2026-01-08/2,世纪华通,1.0
2026-01-08/2,甬矽电子,1.0
2026-01-08/2,中远海能,1.0
2026-01-08/2,福晶科技,1.0
2026-01-08/2,杰瑞股份,1.0
2026-01-08/2,先导智能,1.0
2026-01-08/2,ST松发,1.0
2026-01-08/2,创业黑马,1.0
2026-01-08/2,京东方A,1.0
2026-01-08/2,东田微,1.0
2026-01-08/2,协创数据,1.0
2026-01-08/2,晶科能源,1.0
2026-01-08/2,天合光能,1.0
2026-01-08/2,天禄科技,1.0
2026-01-08/2,东方日升,1.0
2026-01-08/2,菲利华,1.0
2026-01-08/2,珠海基石,1.0
2026-01-08/2,中科飞测,1.0
2026-01-08/2,新凯莱,1.0
2026-01-08/2,拓荆科技,1.0
2026-01-08/2,盛美上海,1.0
2026-01-08/2,顺络电子,1.0
2026-01-08/2,江化微,1.0
2026-01-08/2,安集科技,1.0
2026-01-08/2,兴福电子,1.0
2026-01-08/2,中巨芯,1.0
2026-01-08/2,君原电子,1.0
2026-01-08/2,海拓创新,1.0
2026-01-08/2,新松,1.0
2026-01-08/2,奕思伟,1.0
2026-01-08/2,沪硅产业,1.0
2026-01-08/2,致尚科技,1.0
2026-01-08/2,华芯装备,1.0
2026-01-08/2,中科仪,1.0
2026-01-08/2,石英股份,1.0
2026-01-08/2,九天真空,1.0
2026-01-08/2,富创精密,1.0
2026-01-08/2,矽电股份,1.0
2026-01-08/2,新莱应材,1.0
2026-01-08/2,天娱数科,1.0
2026-01-08/2,江顺科技,1.0
2026-01-08/2,罗博特科,1.0
2026-01-08/2,引力传媒,1.0
2026-01-08/2,浙文互联,1.0
2026-01-08/2,蓝色光标,1.0
2026-01-08/2,易点天下,1.0
2026-01-08/2,海光信息,0.3
