时间,个股,得分
2026-01-21/3,天孚通信,3.0
2026-01-21/3,德明利,3.0
2026-01-21/3,麦格米特,3.0
2026-01-21/3,艾为电子,2.0
2026-01-21/3,科达利,2.0
2026-01-21/3,涛涛车业,2.0
2026-01-21/3,利通科技,2.0
2026-01-21/3,纳芯微,2.0
2026-01-21/3,圣邦股份,2.0
2026-01-21/3,杰华特,2.0
2026-01-21/3,思瑞浦,2.0
2026-01-21/3,南芯科技,2.0
2026-01-21/3,晶丰明源,2.0
2026-01-21/3,华兰股份,2.0
2026-01-21/3,科士达,2.0
2026-01-21/3,腾景科技,2.0
2026-01-21/3,浙江荣泰,2.0
2026-01-21/3,伟创电气,2.0
2026-01-21/3,安培龙,2.0
2026-01-21/3,恒立液压,2.0
2026-01-21/3,联德股份,1.0
2026-01-21/3,龙芯中科,1.0
2026-01-21/3,罗博特科,1.0
2026-01-21/3,恒勃股份,1.0
2026-01-21/3,拓普集团,1.0
2026-01-21/3,徐工机械,1.0
2026-01-21/3,敏实集团,1.0
2026-01-21/3,中钨高新,1.0
2026-01-21/3,太极实业,1.0
2026-01-21/3,金盘科技,1.0
2026-01-21/3,伊戈尔,1.0
2026-01-21/3,翔鹭钨业,1.0
2026-01-21/3,星宸科技,1.0
2026-01-21/3,海光信息,1.0
2026-01-21/3,思源电气,1.0
2026-01-21/3,强瑞技术,1.0
2026-01-21/3,先惠技术,1.0
2026-01-21/3,杭可科技,1.0
2026-01-21/3,宏工科技,1.0
2026-01-21/3,聚胶股份,1.0
2026-01-21/3,同花顺,1.0
2026-01-21/3,新雷能,1.0
2026-01-21/3,厦门钨业,1.0
2026-01-21/3,灵鸽科技,1.0
2026-01-21/3,XDZN,1.0
2026-01-21/3,纳科诺尔,1.0
2026-01-21/3,荣旗科技,1.0
2026-01-21/3,金安国纪,1.0
2026-01-21/3,博苑股份,1.0
2026-01-21/3,海目星,1.0
2026-01-21/3,联赢激光,1.0
2026-01-21/3,兆易创新,1.0
2026-01-21/3,北京君正,1.0
2026-01-21/3,普冉股份,1.0
2026-01-21/3,聚辰股份,1.0
2026-01-21/3,兆驰股份,1.0
2026-01-21/3,昆仑万维,1.0
2026-01-21/3,科大讯飞,1.0
2026-01-21/3,阜博集团,1.0
2026-01-21/3,万兴科技,1.0
2026-01-21/3,锐明技术,1.0
2026-01-21/3,海天瑞声,1.0
2026-01-21/3,江波龙,1.0
2026-01-21/3,香农芯创,1.0
2026-01-21/3,佰维存储,1.0
2026-01-21/3,开普云,1.0
2026-01-21/3,时空科技,1.0
2026-01-21/3,北方华创,1.0
2026-01-21/3,精智达,1.0
2026-01-21/3,华海清科,1.0
2026-01-21/3,中科飞测,1.0
2026-01-21/3,东芯股份,1.0
2026-01-21/3,微导纳米,1.0
2026-01-21/3,拓荆科技,1.0
2026-01-21/3,中微公司,1.0
2026-01-21/3,晶合集成,1.0
2026-01-21/3,汇成股份,1.0
2026-01-21/3,中芯国际,1.0
2026-01-21/3,华虹半导体,1.0
2026-01-21/3,税友股份,0.5
2026-01-21/3,畅捷通,0.5
2026-01-21/3,金蝶国际,0.5
2026-01-21/3,用友网络,0.5
