时间,个股,得分
2026-01-19/2,东方日升,7.0
2026-01-19/2,钧达股份,7.0
2026-01-19/2,先惠技术,6.0
2026-01-19/2,迈为股份,6.0
2026-01-19/2,浙江荣泰,5.0
2026-01-19/2,聚和材料,5.0
2026-01-19/2,科达利,5.0
2026-01-19/2,高测股份,5.0
2026-01-19/2,涛涛车业,4.0
2026-01-19/2,伟创电气,4.0
2026-01-19/2,联赢激光,4.0
2026-01-19/2,先导智能,4.0
2026-01-19/2,铂科新材,3.0
2026-01-19/2,领益智造,3.0
2026-01-19/2,恒勃股份,3.0
2026-01-19/2,连城数控,3.0
2026-01-19/2,奥特维,3.0
2026-01-19/2,安培龙,3.0
2026-01-19/2,潍柴动力,2.3
2026-01-19/2,大族激光,2.0
2026-01-19/2,佰维存储,2.0
2026-01-19/2,北方华创,2.0
2026-01-19/2,博众精工,2.0
2026-01-19/2,电连技术,2.0
2026-01-19/2,成都华微,2.0
2026-01-19/2,传音控股,2.0
2026-01-19/2,超频三,2.0
2026-01-19/2,鸿富瀚,2.0
2026-01-19/2,乐山电力,2.0
2026-01-19/2,洪田股份,2.0
2026-01-19/2,歌尔股份,2.0
2026-01-19/2,东方电缆,2.0
2026-01-19/2,大金重工,2.0
2026-01-19/2,奥比中光-UW,2.0
2026-01-19/2,安达智能,2.0
2026-01-19/2,华海清科,2.0
2026-01-19/2,豪威集团,2.0
2026-01-19/2,海康威视,2.0
2026-01-19/2,乾照光电,2.0
2026-01-19/2,鹏鼎控股,2.0
2026-01-19/2,利扬芯片,2.0
2026-01-19/2,立讯精密,2.0
2026-01-19/2,联创电子,2.0
2026-01-19/2,华工科技,2.0
2026-01-19/2,景嘉微,2.0
2026-01-19/2,凯美特气,2.0
2026-01-19/2,振华股份,2.0
2026-01-19/2,金龙汽车,2.0
2026-01-19/2,明阳智能,2.0
2026-01-19/2,江南新材,2.0
2026-01-19/2,麦格米特,2.0
2026-01-19/2,德马科技,2.0
2026-01-19/2,晶科能源,2.0
2026-01-19/2,帝科股份,2.0
2026-01-19/2,海优新材,2.0
2026-01-19/2,江丰电子,2.0
2026-01-19/2,思瑞浦,2.0
2026-01-19/2,品盛机电,2.0
2026-01-19/2,旭光电子,2.0
2026-01-19/2,智明达,2.0
2026-01-19/2,欧陆通,2.0
2026-01-19/2,思泉新材,2.0
2026-01-19/2,沪电股份,2.0
2026-01-19/2,长电科技,2.0
2026-01-19/2,京东方A,2.0
2026-01-19/2,科士达,2.0
2026-01-19/2,精测电子,2.0
2026-01-19/2,顺络电子,2.0
2026-01-19/2,三安光电,2.0
2026-01-19/2,实益达,2.0
2026-01-19/2,指南者,2.0
2026-01-19/2,天承科技,2.0
2026-01-19/2,统联精密,2.0
2026-01-19/2,TCL科技,2.0
2026-01-19/2,维信诺,2.0
2026-01-19/2,芯朋微,2.0
2026-01-19/2,协创数据,2.0
2026-01-19/2,信维通信,2.0
2026-01-19/2,新炬网络,2.0
2026-01-19/2,宇瞳光学,2.0
2026-01-19/2,清溢光电,2.0
2026-01-19/2,苏州天脉,2.0
