时间,个股,得分
2026-01-23/1,海光信息,2.0
2026-01-23/1,芯原股份,2.0
2026-01-23/1,灿芯股份,2.0
2026-01-23/1,利扬芯片,2.0
2026-01-23/1,浙江荣泰,2.0
2026-01-23/1,迈为股份,2.0
2026-01-23/1,明阳智能,2.0
2026-01-23/1,钧达股份,2.0
2026-01-23/1,兆易创新,1.0
2026-01-23/1,香农芯创,1.0
2026-01-23/1,协创数据,1.0
2026-01-23/1,中大力德,1.0
2026-01-23/1,聚辰股份,1.0
2026-01-23/1,澜起科技,1.0
2026-01-23/1,北京君正,1.0
2026-01-23/1,普冉股份,1.0
2026-01-23/1,东芯股份,1.0
2026-01-23/1,美湖股份,1.0
2026-01-23/1,五洲新春,1.0
2026-01-23/1,奥比中光,1.0
2026-01-23/1,双环传动,1.0
2026-01-23/1,长盛轴承,1.0
2026-01-23/1,金发科技,1.0
2026-01-23/1,禾赛科技,1.0
2026-01-23/1,德明利,1.0
2026-01-23/1,佰维存储,1.0
2026-01-23/1,江波龙,1.0
2026-01-23/1,长飞光纤,1.0
2026-01-23/1,瑞芯微,1.0
2026-01-23/1,速腾聚创,1.0
2026-01-23/1,丰茂股份,1.0
2026-01-23/1,优刻得,1.0
2026-01-23/1,睿创微纳,1.0
2026-01-23/1,深信服,1.0
2026-01-23/1,青云科技,1.0
2026-01-23/1,科达利,1.0
2026-01-23/1,伟创,1.0
2026-01-23/1,安培龙,1.0
2026-01-23/1,涛涛,1.0
2026-01-23/1,徐工机械,1.0
2026-01-23/1,亨通光电,1.0
2026-01-23/1,隆基股份,1.0
2026-01-23/1,海安集团,1.0
2026-01-23/1,东方日升,1.0
2026-01-23/1,中天科技,1.0
2026-01-23/1,永鼎股份,1.0
2026-01-23/1,烽火通信,1.0
2026-01-23/1,中芯国际,1.0
2026-01-23/1,奥特维,1.0
2026-01-23/1,高测股份,1.0
2026-01-23/1,宇晶股份,1.0
2026-01-23/1,飞沃科技,1.0
2026-01-23/1,上海港湾,1.0
2026-01-23/1,信维通信,1.0
2026-01-23/1,西部材料,1.0
2026-01-23/1,航天动力,1.0
2026-01-23/1,超捷股份,1.0
2026-01-23/1,信科移动,1.0
2026-01-23/1,中国神华,0.3
