时间,个股,得分
2026-01-22/2,潍柴动力,4.0
2026-01-22/2,深南电路,3.0
2026-01-22/2,海光信息,3.0
2026-01-22/2,三环集团,3.0
2026-01-22/2,天孚通信,2.0
2026-01-22/2,龙芯中科,2.0
2026-01-22/2,思源电气,2.0
2026-01-22/2,金盘科技,2.0
2026-01-22/2,兴森科技,2.0
2026-01-22/2,澜起科技,2.0
2026-01-22/2,中国长城,2.0
2026-01-22/2,沪电股份,2.0
2026-01-22/2,厦钨新能,2.0
2026-01-22/2,菲利华,2.0
2026-01-22/2,联德股份,2.0
2026-01-22/2,振华股份,2.0
2026-01-22/2,华正新材,2.0
2026-01-22/2,恒勃股份,1.0
2026-01-22/2,亿嘉和,1.0
2026-01-22/2,宁波华翔,1.0
2026-01-22/2,福赛科技,1.0
2026-01-22/2,威高股份,1.0
2026-01-22/2,先惠技术,1.0
2026-01-22/2,中一科技,1.0
2026-01-22/2,三祥新材,1.0
2026-01-22/2,先导智能,1.0
2026-01-22/2,纳科诺尔,1.0
2026-01-22/2,宏工科技,1.0
2026-01-22/2,腾景科技,1.0
2026-01-22/2,赣锋锂业,1.0
2026-01-22/2,晶丰明源,1.0
2026-01-22/2,南芯科技,1.0
2026-01-22/2,杰华特,1.0
2026-01-22/2,圣邦股份,1.0
2026-01-22/2,雅化集团,1.0
2026-01-22/2,华友钴业,1.0
2026-01-22/2,天宜盛新,1.0
2026-01-22/2,中文在线,1.0
2026-01-22/2,阅文集团,1.0
2026-01-22/2,工业富联,1.0
2026-01-22/2,中矿资源,1.0
2026-01-22/2,中国中免,1.0
2026-01-22/2,珠免集团,1.0
2026-01-22/2,王府井,1.0
2026-01-22/2,万兴科技,1.0
2026-01-22/2,汉钟精机,1.0
2026-01-22/2,冰轮环境,1.0
2026-01-22/2,同飞股份,1.0
2026-01-22/2,高澜股份,1.0
2026-01-22/2,强瑞技术,1.0
2026-01-22/2,亚钾国际,1.0
2026-01-22/2,东方铁塔,1.0
2026-01-22/2,盐湖股份,1.0
2026-01-22/2,藏格矿业,1.0
2026-01-22/2,思瑞浦,1.0
2026-01-22/2,纳芯微,1.0
2026-01-22/2,微创机器人-B,1.0
2026-01-22/2,精锋医疗-B,1.0
2026-01-22/2,天智航,1.0
2026-01-22/2,三友医疗,1.0
2026-01-22/2,爱康医疗,1.0
2026-01-22/2,英维克,1.0
2026-01-22/2,中际旭创,1.0
2026-01-22/2,申菱环境,1.0
2026-01-22/2,绿的谐波,1.0
2026-01-22/2,双环传动,1.0
2026-01-22/2,鸣志电器,1.0
2026-01-22/2,优必选,1.0
2026-01-22/2,罗博特科,1.0
2026-01-22/2,三花智控,1.0
2026-01-22/2,斯菱智驱,1.0
2026-01-22/2,拓普集团,1.0
2026-01-22/2,应流股份,1.0
2026-01-22/2,万通发展,1.0
2026-01-22/2,灿芯股份,1.0
2026-01-22/2,万泽股份,1.0
2026-01-22/2,阳光电源,1.0
2026-01-22/2,通富微电,1.0
2026-01-22/2,伟测科技,1.0
2026-01-22/2,金安国纪,1.0
2026-01-22/2,精测电子,1.0
2026-01-22/2,东威科技,1.0
2026-01-22/2,大族数控,1.0
2026-01-22/2,生益科技,1.0
2026-01-22/2,芯碁微装,1.0
2026-01-22/2,南亚新材,1.0
2026-01-22/2,中材科技,1.0
2026-01-22/2,东材科技,1.0
2026-01-22/2,胜宏科技,1.0
2026-01-22/2,鹏鼎控股,1.0
2026-01-22/2,景旺电子,1.0
2026-01-22/2,海博思创,1.0
2026-01-22/2,禾盛新材,1.0
2026-01-22/2,翱捷科技,1.0
2026-01-22/2,宏和科技,1.0
2026-01-22/2,特斯拉,1.0
2026-01-22/2,甘李药业,1.0
2026-01-22/2,沃尔核材,1.0
2026-01-22/2,精达股份,1.0
2026-01-22/2,潍柴重机,1.0
2026-01-22/2,立讯精密,1.0
2026-01-22/2,金信诺,1.0
2026-01-22/2,新亚电子,1.0
2026-01-22/2,兆龙互连,1.0
2026-01-22/2,华新精科,1.0
2026-01-22/2,优优绿能,1.0
2026-01-22/2,AI应用相关公司,1.0
2026-01-22/2,博盈特焊,1.0
2026-01-22/2,东方电气,1.0
2026-01-22/2,华明装备,1.0
2026-01-22/2,神马电力,1.0
2026-01-22/2,伊戈尔,1.0
2026-01-22/2,安靠智电,1.0
2026-01-22/2,迈为股份,1.0
2026-01-22/2,东方日升,1.0
2026-01-22/2,钧达股份,1.0
2026-01-22/2,明阳智能,1.0
2026-01-22/2,宁德时代,1.0
2026-01-22/2,中国石化,1.0
2026-01-22/2,沃尔德,1.0
2026-01-22/2,中钨高新,1.0
2026-01-22/2,四方达,1.0
2026-01-22/2,中国软件,1.0
2026-01-22/2,达梦数据,1.0
2026-01-22/2,浙江荣泰,1.0
