时间,个股,得分
2026-01-20/3,奥特维,8.0
2026-01-20/3,连城数控,8.0
2026-01-20/3,华工科技,6.0
2026-01-20/3,高测股份,6.0
2026-01-20/3,三花智控,6.0
2026-01-20/3,上海港湾,6.0
2026-01-20/3,永鼎股份,5.0
2026-01-20/3,迈为股份,4.0
2026-01-20/3,东微半导,4.0
2026-01-20/3,博众精工,4.0
2026-01-20/3,精测电子,4.0
2026-01-20/3,崧盛股份,4.0
2026-01-20/3,晶盛机电,4.0
2026-01-20/3,洪田股份,4.0
2026-01-20/3,先惠技术,4.0
2026-01-20/3,奥比中光-UW,4.0
2026-01-20/3,模塑科技,4.0
2026-01-20/3,隆盛科技,4.0
2026-01-20/3,安靠智电,4.0
2026-01-20/3,杰瑞股份,4.0
2026-01-20/3,世运电路,4.0
2026-01-20/3,宗申动力,4.0
2026-01-20/3,伟创电气,4.0
2026-01-20/3,联赢激光,4.0
2026-01-20/3,海光信息,4.0
2026-01-20/3,斯菱智驱,4.0
2026-01-20/3,道通科技,4.0
2026-01-20/3,先导智能,4.0
2026-01-20/3,国光电气,4.0
2026-01-20/3,海康威视,3.5
2026-01-20/3,大连电瓷,3.0
2026-01-20/3,上汽集团,3.0
2026-01-20/3,北方华创,3.0
2026-01-20/3,中富电路,3.0
2026-01-20/3,科士达,3.0
2026-01-20/3,中微公司,3.0
2026-01-20/3,比亚迪,3.0
2026-01-20/3,中航西飞,2.5
2026-01-20/3,科达利,2.0
2026-01-20/3,金固股份,2.0
2026-01-20/3,电科芯片,2.0
2026-01-20/3,双良节能,2.0
2026-01-20/3,拉普拉斯,2.0
2026-01-20/3,海优新材,2.0
2026-01-20/3,歌尔股份,2.0
2026-01-20/3,安培龙,2.0
2026-01-20/3,涛涛车业,2.0
2026-01-20/3,浙江荣泰,2.0
2026-01-20/3,新莱应材,2.0
2026-01-20/3,扬杰科技,2.0
2026-01-20/3,景旺电子,2.0
2026-01-20/3,安达智能,2.0
2026-01-20/3,成都华微,2.0
2026-01-20/3,达瑞电子,2.0
2026-01-20/3,华润微,2.0
2026-01-20/3,联动科技,2.0
2026-01-20/3,航亚科技,2.0
