时间,个股,得分
2026-01-16/t,三花智控,7.0
2026-01-16/t,精测电子,6.0
2026-01-16/t,晶盛机电,6.0
2026-01-16/t,国光电气,6.0
2026-01-16/t,斯莱克,6.0
2026-01-16/t,思源电气,5.0
2026-01-16/t,迈为股份,5.0
2026-01-16/t,中航西飞,4.0
2026-01-16/t,华工科技,4.0
2026-01-16/t,佰维存储,4.0
2026-01-16/t,立讯精密,4.0
2026-01-16/t,宗申动力,4.0
2026-01-16/t,拓普集团,4.0
2026-01-16/t,利扬芯片,4.0
2026-01-16/t,北方华创,4.0
2026-01-16/t,中微公司,4.0
2026-01-16/t,华峰测控,4.0
2026-01-16/t,芯源微,4.0
2026-01-16/t,科士达,4.0
2026-01-16/t,长电科技,4.0
2026-01-16/t,旭光电子,4.0
2026-01-16/t,伟测科技,4.0
2026-01-16/t,杰瑞股份,4.0
2026-01-16/t,永创智能,4.0
2026-01-16/t,道通科技,4.0
2026-01-16/t,潍柴动力,4.0
2026-01-16/t,北特科技,4.0
2026-01-16/t,海康威视,3.0
2026-01-16/t,上海新阳,3.0
2026-01-16/t,伯特利,3.0
2026-01-16/t,富瀚微,3.0
2026-01-16/t,顺络电子,3.0
2026-01-16/t,大华股份,3.0
2026-01-16/t,福赛科技,3.0
2026-01-16/t,通富微电,3.0
2026-01-16/t,科大讯飞,3.0
2026-01-16/t,芯碁微装,3.0
2026-01-16/t,长川科技,3.0
2026-01-16/t,华海清科,3.0
2026-01-16/t,中科飞测,3.0
2026-01-16/t,鼎龙股份,3.0
2026-01-16/t,领益智造,3.0
2026-01-16/t,明阳智能,3.0
2026-01-16/t,江波龙,3.0
2026-01-16/t,歌尔股份,3.0
2026-01-16/t,先导智能,3.0
2026-01-16/t,联赢激光,3.0
2026-01-16/t,运达股份,3.0
2026-01-16/t,恒立液压,3.0
2026-01-16/t,中航沈飞,2.0
2026-01-16/t,巨子生物,2.0
2026-01-16/t,小鹏汽车-W,2.0
2026-01-16/t,小米集团-W,2.0
2026-01-16/t,银轮股份,2.0
2026-01-16/t,隆基绿能,2.0
2026-01-16/t,洪都航空,2.0
2026-01-16/t,航天彩虹,2.0
2026-01-16/t,纵横股份,2.0
2026-01-16/t,中无人机,2.0
2026-01-16/t,爱乐达,2.0
2026-01-16/t,超捷股份,2.0
2026-01-16/t,复旦微电,2.0
2026-01-16/t,航亚科技,2.0
2026-01-16/t,航发科技,2.0
2026-01-16/t,零跑汽车,2.0
2026-01-16/t,万里扬,2.0
2026-01-16/t,万向钱潮,2.0
2026-01-16/t,模塑科技,2.0
2026-01-16/t,瑞迪智驱,2.0
2026-01-16/t,双林股份,2.0
2026-01-16/t,上汽集团,2.0
2026-01-16/t,旭升集团,2.0
2026-01-16/t,平高电气,2.0
2026-01-16/t,许继电气,2.0
2026-01-16/t,国电南瑞,2.0
2026-01-16/t,东方电子,2.0
2026-01-16/t,四方股份,2.0
2026-01-16/t,三星医疗,2.0
2026-01-16/t,斯菱股份,2.0
2026-01-16/t,长安汽车,2.0
2026-01-16/t,璞泰来,2.0
2026-01-16/t,精智达,2.0
2026-01-16/t,比亚迪,2.0
2026-01-16/t,哈工智能,2.0
2026-01-16/t,经纬恒润-W,2.0
2026-01-16/t,均胜电子,2.0
2026-01-16/t,吉利汽车,2.0
2026-01-16/t,凌云股份,2.0
2026-01-16/t,隆盛科技,2.0
2026-01-16/t,传音控股,2.0
2026-01-16/t,超频三,2.0
2026-01-16/t,斯迪克,2.0
2026-01-16/t,上海港湾,2.0
2026-01-16/t,飞龙股份,2.0
2026-01-16/t,京能股份,2.0
2026-01-16/t,蓝黛科技,2.0
2026-01-16/t,隆鑫通用,2.0
2026-01-16/t,迪生力,2.0
2026-01-16/t,华安鑫创,2.0
2026-01-16/t,华依科技,2.0
2026-01-16/t,赛力斯,2.0
2026-01-16/t,文灿股份,2.0
2026-01-16/t,中国汽研,2.0
2026-01-16/t,长城汽车,2.0
2026-01-16/t,凯美特气,2.0
2026-01-16/t,京东方A,2.0
2026-01-16/t,龙旗科技,2.0
2026-01-16/t,联创电子,2.0
2026-01-16/t,鹏鼎控股,2.0
2026-01-16/t,微导纳米,2.0
2026-01-16/t,奥比中光-UW,2.0
2026-01-16/t,安达智能,2.0
2026-01-16/t,博众精工,2.0
2026-01-16/t,电连技术,2.0
2026-01-16/t,成都华微,2.0
2026-01-16/t,天承科技,2.0
2026-01-16/t,统联精密,2.0
2026-01-16/t,TCL科技,2.0
2026-01-16/t,维信诺,2.0
2026-01-16/t,芯原微,2.0
2026-01-16/t,协创数据,2.0
2026-01-16/t,信维通信,2.0
2026-01-16/t,新炬网络,2.0
2026-01-16/t,大族激光,2.0
2026-01-16/t,乐山电力,2.0
2026-01-16/t,洪田股份,2.0
2026-01-16/t,鸿富瀚,2.0
2026-01-16/t,豪威集团,2.0
2026-01-16/t,中航光电,2.0
2026-01-16/t,景嘉微,2.0
2026-01-16/t,思瑞浦,2.0
2026-01-16/t,金海通,2.0
2026-01-16/t,智明达,2.0
2026-01-16/t,欧陆通,2.0
2026-01-16/t,思泉新材,2.0
2026-01-16/t,沪电股份,2.0
2026-01-16/t,骄成超声,2.0
2026-01-16/t,金沃股份,2.0
2026-01-16/t,乾照光电,2.0
2026-01-16/t,清溢光电,2.0
2026-01-16/t,苏州天脉,2.0
2026-01-16/t,胜宏科技,2.0
2026-01-16/t,上海银行,2.0
2026-01-16/t,三安光电,2.0
2026-01-16/t,实益达,2.0
2026-01-16/t,指南者,2.0
2026-01-16/t,铭普光磁,2.0
2026-01-16/t,润泽科技,2.0
2026-01-16/t,长盈通,2.0
2026-01-16/t,飞马国际,2.0
2026-01-16/t,长信基金,2.0
2026-01-16/t,华测导航,2.0
2026-01-16/t,汇绿生态,2.0
2026-01-16/t,嘉元科技,2.0
2026-01-16/t,舜宇光学,2.0
2026-01-16/t,扬杰科技,2.0
2026-01-16/t,宇瞳光学,2.0
2026-01-16/t,中科电路,2.0
2026-01-16/t,达瑞电子,2.0
2026-01-16/t,艾森股份,2.0
2026-01-16/t,星宸科技,2.0
2026-01-16/t,江丰电子,2.0
2026-01-16/t,迈富时,2.0
2026-01-16/t,税友股份,2.0
2026-01-16/t,星环科技,2.0
2026-01-16/t,医渡科技,2.0
2026-01-16/t,鼎捷软件,2.0
2026-01-16/t,能科科技,2.0
2026-01-16/t,海光信息,2.0
2026-01-16/t,合合信息,2.0
2026-01-16/t,矽电股份,2.0
2026-01-16/t,蓝思科技,2.0
2026-01-16/t,西安奕斯伟,2.0
2026-01-16/t,兴森科技,2.0
2026-01-16/t,新莱应材,2.0
2026-01-16/t,至纯科技,2.0
2026-01-16/t,华懋科技,2.0
2026-01-16/t,海格通信,2.0
2026-01-16/t,科伦药业,2.0
2026-01-16/t,博济医药,2.0
2026-01-16/t,天智航-U,2.0
2026-01-16/t,智翔金泰-U,2.0
2026-01-16/t,百利天恒-U,2.0
2026-01-16/t,华兰股份,2.0
2026-01-16/t,海创药业,2.0
2026-01-16/t,科伦博泰,2.0
2026-01-16/t,锐捷网络,2.0
2026-01-16/t,网宿科技,2.0
2026-01-16/t,信科移动-U,2.0
2026-01-16/t,星网锐捷,2.0
2026-01-16/t,永鼎股份,2.0
2026-01-16/t,第四范式,2.0
2026-01-16/t,恒生电子,2.0
2026-01-16/t,金山办公,2.0
2026-01-16/t,盛弘股份,2.0
2026-01-16/t,富特科技,2.0
2026-01-16/t,伊戈尔,2.0
2026-01-16/t,南都电源,2.0
2026-01-16/t,拓荆科技,2.0
2026-01-16/t,甬矽电子,2.0
2026-01-16/t,雄韬股份,2.0
2026-01-16/t,中恒电气,2.0
2026-01-16/t,汉得信息,2.0
2026-01-16/t,摩尔线程,2.0
2026-01-16/t,欢瑞世纪,2.0
2026-01-16/t,巨人网络,2.0
2026-01-16/t,恺英网络,2.0
2026-01-16/t,中文在线,2.0
2026-01-16/t,博腾股份,2.0
2026-01-16/t,成都先导,2.0
2026-01-16/t,汇成股份,2.0
2026-01-16/t,联德股份,2.0
2026-01-16/t,联得装备,2.0
2026-01-16/t,优必选,2.0
2026-01-16/t,中国中车,2.0
2026-01-16/t,中集环科,2.0
2026-01-16/t,中国重汽,2.0
2026-01-16/t,中集安瑞科,2.0
2026-01-16/t,康弘药业,2.0
2026-01-16/t,苑东生物,2.0
2026-01-16/t,中源协和,2.0
2026-01-16/t,奥特维,2.0
2026-01-16/t,华泰科技,2.0
2026-01-16/t,安靠智电,2.0
2026-01-16/t,航天电子,2.0
2026-01-16/t,崧盛股份,2.0
2026-01-16/t,长江证券,2.0
2026-01-16/t,派克新材,2.0
2026-01-16/t,思进智能,2.0
2026-01-16/t,东华测试,2.0
2026-01-16/t,航宇科技,2.0
2026-01-16/t,英诺激光,2.0
2026-01-16/t,东材科技,2.0
2026-01-16/t,美联新材,2.0
2026-01-16/t,远达环保,2.0
2026-01-16/t,国际复材,2.0
2026-01-16/t,奥普特,2.0
2026-01-16/t,华驰科技,2.0
2026-01-16/t,川仪股份,2.0
2026-01-16/t,鼎泰高科,2.0
2026-01-16/t,杭叉集团,2.0
2026-01-16/t,华天科技,2.0
2026-01-16/t,联创光电,2.0
2026-01-16/t,纳科诺尔,2.0
2026-01-16/t,宏工科技,2.0
2026-01-16/t,盟升电子,2.0
2026-01-16/t,图南股份,2.0
2026-01-16/t,石基信息,2.0
2026-01-16/t,东方电气,2.0
2026-01-16/t,天奥电子,2.0
2026-01-16/t,帝尔激光,2.0
2026-01-16/t,大族数控,2.0
2026-01-16/t,华曙高科,2.0
2026-01-16/t,万泽股份,2.0
2026-01-16/t,杭氧股份,2.0
2026-01-16/t,江顺科技,2.0
2026-01-16/t,绿的谐波,2.0
2026-01-16/t,和林微纳,2.0
2026-01-16/t,厦钨新能,1.0
2026-01-16/t,上海洗霸,1.0
2026-01-16/t,华自科技,1.0
2026-01-16/t,中一科技,1.0
2026-01-16/t,海目星,1.0
2026-01-16/t,杭可科技,1.0
2026-01-16/t,先惠技术,1.0
2026-01-16/t,光云科技,1.0
2026-01-16/t,壹网壹创,1.0
2026-01-16/t,青木科技,1.0
2026-01-16/t,科森科技,1.0
2026-01-16/t,新泉股份,1.0
2026-01-16/t,泛亚微透,1.0
2026-01-16/t,浙江荣泰,1.0
2026-01-16/t,奥比中光,1.0
2026-01-16/t,新益昌,1.0
2026-01-16/t,至正股份,1.0
2026-01-16/t,雅克科技,1.0
2026-01-16/t,凯格精机,1.0
2026-01-16/t,大金重工,1.0
2026-01-16/t,海力风电,1.0
2026-01-16/t,天顺风能,1.0
2026-01-16/t,泰胜风能,1.0
2026-01-16/t,东方电缆,1.0
2026-01-16/t,沃尔核材,1.0
2026-01-16/t,鸿腾精密,1.0
2026-01-16/t,精达股份,1.0
2026-01-16/t,新亚电子,1.0
2026-01-16/t,金信诺,1.0
2026-01-16/t,兆龙互连,1.0
2026-01-16/t,朗新集团,1.0
2026-01-16/t,拓尔思,1.0
2026-01-16/t,呈和科技,1.0
2026-01-16/t,中联重科,1.0
2026-01-16/t,三一重工,1.0
2026-01-16/t,中原内配,1.0
2026-01-16/t,聚和材料,1.0
2026-01-16/t,振华股份,1.0
2026-01-16/t,天际股份,1.0
2026-01-16/t,强一科技,1.0
2026-01-16/t,中国西电,1.0
2026-01-16/t,特变电工,1.0
2026-01-16/t,天合光能,1.0
2026-01-16/t,海亮股份,1.0
2026-01-16/t,天银机电,1.0
2026-01-16/t,特锐德,1.0
2026-01-16/t,南网科技,1.0
2026-01-16/t,海兴电力,1.0
2026-01-16/t,国能日新,1.0
2026-01-16/t,恒辉安防,1.0
2026-01-16/t,高测股份,1.0
2026-01-16/t,集智股份,1.0
2026-01-16/t,亚太股份,1.0
2026-01-16/t,保隆科技,1.0
2026-01-16/t,经纬恒润,1.0
2026-01-16/t,浙江世宝,1.0
2026-01-16/t,锦波生物,1.0
2026-01-16/t,创健医疗,1.0
2026-01-16/t,上美股份,1.0
2026-01-16/t,毛戈平,1.0
2026-01-16/t,润本股份,1.0
2026-01-16/t,日月光,1.0
2026-01-16/t,三孚股份,1.0
2026-01-16/t,工业富联,1.0
2026-01-16/t,香农芯创,1.0
2026-01-16/t,德明利,1.0
2026-01-16/t,长盈精密,1.0
2026-01-16/t,豪鹏科技,1.0
2026-01-16/t,华友钴业,1.0
2026-01-16/t,中伟股份,1.0
2026-01-16/t,格林美,1.0
