时间,板块,得分
2026-01-21/t,半导体,11.0
2026-01-21/t,国防军工,6.0
2026-01-21/t,计算机,5.0
2026-01-21/t,家电,4.0
2026-01-21/t,机器人,4.0
2026-01-21/t,有色金属,3.0
2026-01-21/t,机械设备,3.0
2026-01-21/t,通信设备,3.0
2026-01-21/t,电源设备,3.0
2026-01-21/t,工程机械,3.0
2026-01-21/t,半导体设备,3.0
2026-01-21/t,保险,3.0
2026-01-21/t,光模块,3.0
2026-01-21/t,ETF,3.0
2026-01-21/t,食品饮料,3.0
2026-01-21/t,化工,3.0
2026-01-21/t,工业机械,2.0
2026-01-21/t,生物医药,2.0
2026-01-21/t,金属新材料,2.0
2026-01-21/t,人工智能,2.0
2026-01-21/t,建筑材料,2.0
2026-01-21/t,汽车,2.0
2026-01-21/t,存储,2.0
2026-01-21/t,汽车零部件,2.0
2026-01-21/t,连锁快餐,2.0
2026-01-21/t,固态电池,2.0
2026-01-21/t,金融,2.0
2026-01-21/t,光通信,2.0
2026-01-21/t,零售,2.0
2026-01-21/t,电气设备,2.0
2026-01-21/t,商贸零售,1.0
2026-01-21/t,造纸,1.0
2026-01-21/t,通用设备,1.0
2026-01-21/t,黄金,1.0
2026-01-21/t,建筑建材,1.0
2026-01-21/t,环保,1.0
2026-01-21/t,海南自贸区,1.0
2026-01-21/t,光伏,1.0
2026-01-21/t,餐饮供应链,1.0
2026-01-21/t,贵金属,1.0
2026-01-21/t,金融信息服务,1.0
2026-01-21/t,计算机应用,1.0
2026-01-21/t,医疗器械,1.0
2026-01-21/t,小金属,1.0
2026-01-21/t,重卡发动机,1.0
2026-01-21/t,国产算力,1.0
2026-01-21/t,电力,1.0
2026-01-21/t,软件开发,1.0
2026-01-21/t,消费,1.0
2026-01-21/t,房地产,1.0
2026-01-21/t,商业百货,1.0
2026-01-21/t,医疗保健,1.0
2026-01-21/t,餐饮,1.0
2026-01-21/t,航天航空,1.0
2026-01-21/t,畜牧业,1.0
2026-01-21/t,酒店,1.0
2026-01-21/t,北交所,1.0
2026-01-21/t,医药,1.0
2026-01-21/t,医药生物,1.0
2026-01-21/t,电子元件,1.0
2026-01-21/t,电子,1.0
2026-01-21/t,文化传媒,1.0
2026-01-21/t,航空航天,1.0
2026-01-21/t,环保公用,0.0
2026-01-21/t,化妆品,0.0
2026-01-21/t,电网,0.0
2026-01-21/t,黄金珠宝,0.0
2026-01-21/t,周期板块,0.0
2026-01-21/t,航天,0.0
2026-01-21/t,煤炭,0.0
2026-01-21/t,煤炭开采,0.0
2026-01-21/t,农业,0.0
