时间,板块,得分
2026-01-20/t,半导体,11.0
2026-01-20/t,化工,10.0
2026-01-20/t,航空航天,6.0
2026-01-20/t,房地产,6.0
2026-01-20/t,光伏设备,6.0
2026-01-20/t,国防军工,6.0
2026-01-20/t,食品饮料,5.0
2026-01-20/t,计算机,5.0
2026-01-20/t,人工智能,5.0
2026-01-20/t,工程机械,5.0
2026-01-20/t,汽车零部件,4.0
2026-01-20/t,电子元件,4.0
2026-01-20/t,传媒,4.0
2026-01-20/t,环保,4.0
2026-01-20/t,免税,4.0
2026-01-20/t,科技,4.0
2026-01-20/t,机器人,4.0
2026-01-20/t,基础化工,3.0
2026-01-20/t,电力设备,3.0
2026-01-20/t,光伏,3.0
2026-01-20/t,PCB,3.0
2026-01-20/t,餐饮,3.0
2026-01-20/t,半导体设备,3.0
2026-01-20/t,汽车,3.0
2026-01-20/t,家电,3.0
2026-01-20/t,电网设备,2.0
2026-01-20/t,有色金属,2.0
2026-01-20/t,半导体材料,2.0
2026-01-20/t,建筑材料,2.0
2026-01-20/t,消费,2.0
2026-01-20/t,建筑建材,2.0
2026-01-20/t,机械设备,2.0
2026-01-20/t,旅游零售,2.0
2026-01-20/t,卫星通信,2.0
2026-01-20/t,光模块,2.0
2026-01-20/t,光学光电子,2.0
2026-01-20/t,电子,2.0
2026-01-20/t,通信,1.0
2026-01-20/t,电源设备,1.0
2026-01-20/t,AI视频,1.0
2026-01-20/t,家电行业,1.0
2026-01-20/t,宏观策略,1.0
2026-01-20/t,风电设备,1.0
2026-01-20/t,通用设备,1.0
2026-01-20/t,农业,1.0
2026-01-20/t,金属新材料,1.0
2026-01-20/t,医药生物,1.0
2026-01-20/t,3D打印,1.0
2026-01-20/t,半导体及元件,1.0
2026-01-20/t,玩具,1.0
2026-01-20/t,液冷服务器,1.0
2026-01-20/t,电子皮肤,1.0
2026-01-20/t,免税店,1.0
2026-01-20/t,电池,1.0
2026-01-20/t,纺织服装,1.0
2026-01-20/t,无人驾驶,1.0
2026-01-20/t,电力,1.0
2026-01-20/t,储能,1.0
2026-01-20/t,MLCC,1.0
2026-01-20/t,科创100,1.0
2026-01-20/t,自动驾驶,1.0
2026-01-20/t,氢能源,1.0
2026-01-20/t,医疗器械,1.0
2026-01-20/t,鸿蒙概念,1.0
2026-01-20/t,稀有金属,1.0
2026-01-20/t,军工,1.0
2026-01-20/t,设备,1.0
2026-01-20/t,输变电设备,1.0
2026-01-20/t,煤炭,1.0
2026-01-20/t,液冷,1.0
2026-01-20/t,出版,1.0
2026-01-20/t,氢能,1.0
2026-01-20/t,黄金,1.0
2026-01-20/t,生物医药,1.0
2026-01-20/t,商业百货,1.0
2026-01-20/t,建筑,1.0
2026-01-20/t,银行,1.0
2026-01-20/t,新能源汽车,1.0
2026-01-20/t,旅游,1.0
2026-01-20/t,汽车整车,1.0
2026-01-20/t,算力,1.0
2026-01-20/t,航空运输,1.0
2026-01-20/t,轻工制造,1.0
2026-01-20/t,公用事业,1.0
2026-01-20/t,电气设备,1.0
2026-01-20/t,证券,1.0
2026-01-20/t,锂,1.0
2026-01-20/t,锂电池,1.0
2026-01-20/t,国债,1.0
2026-01-20/t,数据中心,1.0
2026-01-20/t,消费电子,1.0
2026-01-20/t,家居,1.0
2026-01-20/t,汽车制造,1.0
2026-01-20/t,保险,1.0
2026-01-20/t,债券,1.0
2026-01-20/t,数字经济,1.0
2026-01-20/t,零售,1.0
2026-01-20/t,商贸零售,1.0
2026-01-20/t,非银金融,1.0
2026-01-20/t,房地产开发,0.0
2026-01-20/t,核电,0.0
2026-01-20/t,医药,0.0
2026-01-20/t,航天,0.0
2026-01-20/t,中药,0.0
2026-01-20/t,美容护理,0.0
