时间,板块,得分
2026-01-13/3,有色金属,2.0
2026-01-13/3,存储芯片,2.0
2026-01-13/3,人工智能,2.0
2026-01-13/3,生物医药,2.0
2026-01-13/3,航天装备,2.0
2026-01-13/3,电力设备,1.0
2026-01-13/3,液冷,1.0
2026-01-13/3,存储介质,1.0
2026-01-13/3,数据中心,1.0
2026-01-13/3,航天航空,1.0
2026-01-13/3,机器人,1.0
2026-01-13/3,医疗服务,1.0
2026-01-13/3,电力,1.0
2026-01-13/3,半导体设备,1.0
2026-01-13/3,电子制造,1.0
2026-01-13/3,电池,1.0
2026-01-13/3,黄金,1.0
2026-01-13/3,半导体,1.0
2026-01-13/3,计算机,0.0
2026-01-13/3,金属与材料,0.0
2026-01-13/3,电子商务,0.0
2026-01-13/3,零售美护,0.0
2026-01-13/3,煤炭,0.0
2026-01-13/3,养殖,0.0
2026-01-13/3,金属,0.0
2026-01-13/3,建材,0.0
