时间,板块,得分
2026-01-16/t,半导体,7.0
2026-01-16/t,电网设备,4.0
2026-01-16/t,有色金属,3.0
2026-01-16/t,锂电池,3.0
2026-01-16/t,风电,3.0
2026-01-16/t,电子元件,2.0
2026-01-16/t,通用设备,2.0
2026-01-16/t,电池,2.0
2026-01-16/t,汽车零部件,2.0
2026-01-16/t,金融,2.0
2026-01-16/t,工程机械,2.0
2026-01-16/t,机器人,2.0
2026-01-16/t,半导体封测,2.0
2026-01-16/t,科技,2.0
2026-01-16/t,电子,2.0
2026-01-16/t,化工,1.0
2026-01-16/t,医美,1.0
2026-01-16/t,酒店及旅游,1.0
2026-01-16/t,互联网服务,1.0
2026-01-16/t,化学制药,1.0
2026-01-16/t,汽车电子,1.0
2026-01-16/t,人工智能,1.0
2026-01-16/t,航天装备,1.0
2026-01-16/t,铜箔,1.0
2026-01-16/t,航天航空,1.0
2026-01-16/t,光伏,1.0
2026-01-16/t,化妆品,1.0
2026-01-16/t,光刻胶,1.0
2026-01-16/t,电机,1.0
2026-01-16/t,光模块设备,1.0
2026-01-16/t,半导体设备,1.0
2026-01-16/t,消费电子,1.0
2026-01-16/t,计算机,0.0
2026-01-16/t,半导体材料,0.0
2026-01-16/t,家电,0.0
2026-01-16/t,农业,0.0
