时间,板块,得分
2026-01-14/3,锂电池,2.0
2026-01-14/3,计算机应用,2.0
2026-01-14/3,机械设备,2.0
2026-01-14/3,人工智能,2.0
2026-01-14/3,券商,2.0
2026-01-14/3,餐饮,2.0
2026-01-14/3,半导体,2.0
2026-01-14/3,工业互联网,1.0
2026-01-14/3,基因检测,1.0
2026-01-14/3,商业航天,1.0
2026-01-14/3,互联网,1.0
2026-01-14/3,数字人,1.0
2026-01-14/3,通信设备,1.0
2026-01-14/3,光学光电子,1.0
2026-01-14/3,半导体设备,1.0
2026-01-14/3,固态电池,1.0
2026-01-14/3,化工,1.0
2026-01-14/3,航天航空,1.0
2026-01-14/3,有色金属,1.0
2026-01-14/3,教育,1.0
2026-01-14/3,国产算力,1.0
2026-01-14/3,生物制品,1.0
2026-01-14/3,机器人,1.0
2026-01-14/3,证券,1.0
2026-01-14/3,AI应用,1.0
2026-01-14/3,计算机,0.0
2026-01-14/3,煤炭开采,0.0
2026-01-14/3,煤炭,0.0
2026-01-14/3,航天,0.0
2026-01-14/3,电池,0.0
2026-01-14/3,3D打印,0.0
2026-01-14/3,医疗,0.0
2026-01-14/3,农业,0.0
2026-01-14/3,电子烟,0.0
