时间,板块,得分
2026-01-07/3,液冷,5.0
2026-01-07/3,半导体,4.0
2026-01-07/3,汽车零部件,3.0
2026-01-07/3,环保,3.0
2026-01-07/3,电力设备,3.0
2026-01-07/3,工程机械,3.0
2026-01-07/3,锂电设备,2.0
2026-01-07/3,农业,2.0
2026-01-07/3,电子元件,2.0
2026-01-07/3,航天航空,2.0
2026-01-07/3,半导体材料,2.0
2026-01-07/3,通信设备,1.0
2026-01-07/3,电源设备,1.0
2026-01-07/3,机器人,1.0
2026-01-07/3,固态电池,1.0
2026-01-07/3,煤炭开采,1.0
2026-01-07/3,电池,1.0
2026-01-07/3,卫星,1.0
2026-01-07/3,工业母机,1.0
2026-01-07/3,煤炭,1.0
2026-01-07/3,大数据,1.0
2026-01-07/3,工业气体,1.0
2026-01-07/3,电子化学品,1.0
2026-01-07/3,光学光电子,1.0
2026-01-07/3,半导体设备,1.0
2026-01-07/3,航天装备,1.0
2026-01-07/3,IDC,1.0
2026-01-07/3,化工,1.0
2026-01-07/3,储能,1.0
2026-01-07/3,玻璃制造,1.0
2026-01-07/3,稀土永磁,1.0
2026-01-07/3,汽车整车,1.0
2026-01-07/3,有色金属,1.0
2026-01-07/3,光刻机,1.0
2026-01-07/3,生物医药,1.0
2026-01-07/3,云计算,1.0
2026-01-07/3,钙钛矿电池,1.0
2026-01-07/3,存储,1.0
2026-01-07/3,氯碱化工,0.0
2026-01-07/3,能源金属,0.0
2026-01-07/3,计算机,0.0
2026-01-07/3,消费电子,0.0
2026-01-07/3,养殖业,0.0
