时间,板块,得分
2026-01-19/3,有色金属,10.0
2026-01-19/3,化工,9.0
2026-01-19/3,汽车,8.0
2026-01-19/3,食品饮料,6.0
2026-01-19/3,机械设备,6.0
2026-01-19/3,消费,6.0
2026-01-19/3,零售,5.0
2026-01-19/3,半导体,5.0
2026-01-19/3,电子,5.0
2026-01-19/3,计算机,5.0
2026-01-19/3,机器人,4.0
2026-01-19/3,房地产,4.0
2026-01-19/3,传媒,4.0
2026-01-19/3,医药,4.0
2026-01-19/3,餐饮,4.0
2026-01-19/3,通信,4.0
2026-01-19/3,电力设备,3.0
2026-01-19/3,非银金融,3.0
2026-01-19/3,纺织服装,3.0
2026-01-19/3,交通运输,3.0
2026-01-19/3,物流,3.0
2026-01-19/3,光模块,2.0
2026-01-19/3,新消费,2.0
2026-01-19/3,光伏,2.0
2026-01-19/3,贵金属,2.0
2026-01-19/3,电网设备,2.0
2026-01-19/3,家电,2.0
2026-01-19/3,新能源,2.0
2026-01-19/3,汽车零部件,2.0
2026-01-19/3,航天军工,2.0
2026-01-19/3,存储,2.0
2026-01-19/3,氢能,2.0
2026-01-19/3,教育,2.0
2026-01-19/3,珠宝首饰,2.0
2026-01-19/3,电力,2.0
2026-01-19/3,航天,2.0
2026-01-19/3,航天航空,2.0
2026-01-19/3,电源设备,2.0
2026-01-19/3,电新,2.0
2026-01-19/3,储能,2.0
2026-01-19/3,轻工制造,2.0
2026-01-19/3,游戏,2.0
2026-01-19/3,煤炭,2.0
2026-01-19/3,房地产开发,1.0
2026-01-19/3,大宗商品,1.0
2026-01-19/3,军工,1.0
2026-01-19/3,建筑材料,1.0
2026-01-19/3,电子元件,1.0
2026-01-19/3,风电设备,1.0
2026-01-19/3,航空发动机,1.0
2026-01-19/3,医疗器械,1.0
2026-01-19/3,证券,1.0
2026-01-19/3,碳中和,1.0
2026-01-19/3,液冷,1.0
2026-01-19/3,保险,1.0
2026-01-19/3,商业航天,1.0
2026-01-19/3,TMT,1.0
2026-01-19/3,燃气,1.0
2026-01-19/3,石油化工,1.0
2026-01-19/3,半导体封测,1.0
2026-01-19/3,光伏设备,1.0
2026-01-19/3,半导体设备,1.0
2026-01-19/3,CPO,1.0
2026-01-19/3,农林牧渔,1.0
2026-01-19/3,锂电池,1.0
2026-01-19/3,核聚变,1.0
2026-01-19/3,环保,1.0
2026-01-19/3,智能制造,1.0
2026-01-19/3,酒店,1.0
2026-01-19/3,美妆护肤,1.0
2026-01-19/3,农药,1.0
2026-01-19/3,网络游戏,1.0
2026-01-19/3,金融,1.0
2026-01-19/3,生物医药,1.0
2026-01-19/3,国防军工,1.0
2026-01-19/3,航空装备,1.0
2026-01-19/3,债券,1.0
2026-01-19/3,仓储物流,1.0
2026-01-19/3,ETF,1.0
2026-01-19/3,人工智能,1.0
2026-01-19/3,消费电子,1.0
2026-01-19/3,科技,1.0
2026-01-19/3,酒店及餐饮,1.0
2026-01-19/3,石油石化,1.0
2026-01-19/3,银行,1.0
2026-01-19/3,煤炭开采,1.0
2026-01-19/3,包装印刷,1.0
2026-01-19/3,商业百货,1.0
2026-01-19/3,出海,1.0
2026-01-19/3,钢铁,1.0
2026-01-19/3,人力资源服务,1.0
2026-01-19/3,轮胎,1.0
2026-01-19/3,航空航天,1.0
2026-01-19/3,周期品,1.0
2026-01-19/3,互联网医疗,1.0
2026-01-19/3,能源金属,1.0
2026-01-19/3,家居,1.0
2026-01-19/3,新材料,1.0
2026-01-19/3,造纸,1.0
2026-01-19/3,电子制造,1.0
2026-01-19/3,公用事业,1.0
2026-01-19/3,存储芯片,1.0
2026-01-19/3,包装,1.0
2026-01-19/3,互联网,1.0
2026-01-19/3,机械,0.0
2026-01-19/3,传媒互联网,0.0
2026-01-19/3,医药生物,0.0
2026-01-19/3,医疗健康,0.0
2026-01-19/3,金属,0.0
2026-01-19/3,大飞机,0.0
2026-01-19/3,建材,0.0
2026-01-19/3,旅游,0.0
2026-01-19/3,禽养殖,0.0
2026-01-19/3,服装家纺,0.0
2026-01-19/3,基础化工,0.0
